WHestBench Canonical Current State — v25 historical snapshot; superseded by V26 Decision Memo (2026-07-30 18:50 ET),Conclusion,Evidence / environment,Competition meaning
Naive pilots ruled out economically,Posterior-residual independent sampling has estimated per-sample second moment0.0224527 against target variance2.45928e-7; about18.3M samples are needed for0.5% relative MSE.,posterior_score_decomposition.json,"Pursue only exact identities, structured integration, or already-computed shared arithmetic."
CLAF mandatory capacity gate,"T80 proves every sampled-state fan is limited by its physical source span. The frozen s=9,M=64 union span must leave <=0.00502 relative residual before any fan implementation.",T80; preregistration,Input plane rank and exact fan mean are irrelevant if the physical source span misses the target.
Two-plane diagnostic,"In the limiting fixed-preactivation posterior channel, exact 64-ray same/cross Kerdock planes capture only about6.4e-5 of the dominant score direction.",M172,"Strongly disfavor current plane geometry, but do not overclaim closure of the richer finite-width transported source."
Canonical v25 disposition,"No deployable estimator. The unique immediate task is the exposed physical source-span oracle gate. If it fails, close CLAF; if it passes, derive the matched signed scalar from shared arithmetic and compare it to validated radial-Hermite lower-order anchors.","T79,T80,M172; M110-M113",Agent1 retains infinite-factor positivity; Agent2 retains width256 moment dual. Do not duplicate those branches.
V27 FULL EXPERIMENT SYNTHESIS,,,
Score-law governance,"Above the10% compute floor, MC-rate designs are judged by V·f/B; the90,624-row multifidelity candidate is adjusted-score negative despite lower raw MSE.",M178; score-law audit,Stop reporting raw MSE without row/cost normalization and complete score.
Direct-output representation retained,The adaptive rank34–38 source remains legal and high-capacity at r*=0.0748607.,M173; exact Agent4 reconstruction,"The source is a structural result, not a deployable estimator."
Linear checkpoint-gauge class closed,"Source-specific primal/dual, ONB escape, late-only partitions and complete all-layer dual all miss the gate decisively.","T86,T87",Stop all linear independent-block gauge/partition tuning; only nonlinear/biased analytic identities remain outside scope.
Analytic moment path promoted,Oracle marginal and pair corrections have measured winning-scale accuracy; dense bivariate third+fourth closure already reaches0.288% one-step next-variance error.,"M03,M04,M40,M66",The local formula is sufficient; legal moment transport and free rollout are the actual missing algorithm.
Deployment failures reconciled,"Sampled moments, ordinary pair learners, generic low-rank states and free recursive combinations fail because state noise, downstream weighting and mean/covariance incompatibility dominate.","M29-M35,M42,M44,M47,M60,M68,M70",Do not repeat finite-pilot or teacher-forced success as a candidate claim.
Latest covariance diagnosis,"Marginal Edgeworth is ≈1.9e-4/layer; Gaussian covariance closure is ≈1.34% RMS; calibration, delayed closure and low-dimensional state quadrature fail.",M182-M184,Focus exclusively on mixed-cumulant covariance closure and a realizable joint state.
Latest compression diagnosis,Third-cumulant mode-unfolding becomes strongly Tucker-compressible with depth and suggests ≈3B projected cost.,M185,Promising only after downstream-contraction preservation and an analytic factor/core recurrence; oracle empirical factors are illegal at runtime.
Finite-width theorem update,The29-state degree28 certificate raises the actual-width arbitrary-node static floor to1.9250e-8 but remains2.913× below competition closure.,T88,"Publication success; degree62 is a separate proof lane, not a score candidate."
A90 disposition,No post-v26 full48/tail/physical-covariance completion was located.,"T83,M176; latest Library audit",Retain at most one optional bounded audit; not the lead.
Canonical v27 disposition,"No deployable estimator. The sole constructive lead is fully analytic propagation of a compressed, PSD, mutually realizable mixed-moment state, with full free-rollout MSE≤2.962e-7 under≤10% budget. Direct-output nonlinear late innovation is a narrow hedge; all ordinary sampling and linear gauge descendants are stopped.",M186; T86-T88,"Keep protected data sealed until the analytic candidate passes score, cost and tail gates."
V28 OUT-OF-BOX AGENT SYNTHESIS,,,
Pairwise sign-state closure,"T89 proves all bivariate sign, orthant and truncated-moment matrices can agree while the same dense map produces different next ReLU means.","T89,T90; Agent2 report",Close pairwise sign/orthant matrices as complete recursive states. Retain weighted absolute-kernel attribution only as a diagnostic interface.
Primary coherent-state program,"Agents1/2 converge on a heteroscedastic conditional-Gaussian mixture: K≈16–32 latent components, full shared covariance tail and H≈4–6 PSD covariance prototypes. A legal PSD recurrence exists.","T91,T92; M187-M188",This supersedes generic independent moment/Tucker states as the primary representation hypothesis. The decisive question is projection error under free rollout.
Tensor integration narrowed,Generic continuous-input TT is blocked by rank-128 separation and query economics. Kerdock-index QTT remains one cheap rank audit despite exact first-nonlinearity Walsh densification.,"T93,T94,M189",Do not build a broad tensor optimizer. Run the existing-array rank/common-pivot gate once and close if rank exceeds 12–16.
Polynomial chaos narrowed,Coordinate-sparse/ANOVA PCE is structurally closed. The only surviving Agent6 object is an environment-weighted compositional tensor contraction for the exact degree-10 adjoint-harmonic expectation.,"T95,T96,M190","Treat as a possible cost/expectation engine for the primary coherent state or direct harmonic source, not a second global PCE program."
Canonical priority order,1) M187 weighted-kernel attribution and H0/H2 latent oracle; 2) M188 legal persistent mixture rollout; 3) M190 contracted degree-10 rank/legal-orientation audit in parallel; 4) M189 one-shot QTT falsifier.,M187-M190,No protected evaluation. Kill paths at oracle rank/accuracy gates before implementation.
Canonical v28 disposition,"No deployable estimator. The best new path is a coherent conditional-covariance latent law, not pairwise matrices or independent cumulants. Its current status is theorem-backed representation plus unrun oracle and rollout gates. Contracted compositional chaos is the most plausible compute engine; Kerdock QTT is a low-probability bounded hedge.",M191; T89-T96,"The competition remains open only through a genuinely joint, weight-derived, nonperturbative state that passes <=0.3% local error and <=2.962e-7 full raw MSE under <=10% budget."
V29 LATE-AGENT CUTOFF CORRECTION,,,
Characteristic-function disposition,"Exact CFs recover local ReLU moments, but finite uni/bivariate or selected-direction CF states are not recursively closed under dense ReLU layers.",T97; Agent3 report,Close standalone Fourier propagation. Spectral encodings may only represent/compress a coherent latent distribution or a local contraction.
Primary mixture gate sharpened,"Agent4 provides a cheaper tied-covariance recurrence preserving global mean/covariance with one full transform per layer. The correct first ceiling is tied K through64, followed by low-rank or component covariance only if needed.","T98,M192",M192 supersedes the narrower v28 K16-32/H4-6 assumption. Conditional covariance prototypes are not presumed necessary before the tied/full oracle comparison.
Activation-fan disposition,Exact affine-map BDD/ZDD merging is generically ineffective. Only output-weighted low-normal-rank facet compression remains.,"T99,M193",Low-probability bounded oracle lane; not a co-lead.
Nonlinear late-innovation closure,No function solely of the finite baseline output transcript can be universally exact. Local Stein flux omits inherited boundaries.,"T100,T101","Close transcript-only nonlinear identities and marginal flux. Retain one weight-coupled cubic boundary bispectrum test, M194."
Full-weight learning correction,"Full weights contain the target information after an exact symmetry quotient, so universal information-impossibility rhetoric is false. Empirically, direct signed R2≈0.036 is far below the roughly0.84 needed.","T102,M195","Mathematically open, strategically deferred. One bounded exact-quotient falsifier only."
Automated nonlinear search disposition,Stable nonlinear wrappers reduce to closed linear classes at leading order; winning-scale correction requires cosine≈0.894 or a genuinely new phase/boundary primitive.,T103; Agent10 report,Stop broad symbolic/evolutionary search. Use theorem-pruned enumeration only around latent distribution transport or boundary phase.
Canonical v29 priority,1) M192 tied/full/low-rank mixture oracle ladder; 2) M188 legal rollout; 3) M190 compositional contraction engine in parallel; 4) M189 QTT and M193/M194 one-shot falsifiers; M195 deferred.,M192-M196,"No protected evaluation. The main uncertainty is now empirical mixture representability and legal projection stability, not whether a coherent recurrence can be written."
Canonical v29 disposition,"No deployable estimator. The primary path remains a coherent nonperturbative latent law, now concretely TC-LGM first rather than immediately heteroscedastic prototypes. The six late reports add important closures but no competing measured oracle.",M196; T97-T103,V28 was incomplete at its cutoff; v29 is current through the files created by 23:01 ET.
V30 LOCAL HYBRID AND MIXTURE RESULTS,,,
Hybrid metric correction,"For a structured residual estimator the relevant quantity is complete-basis block variance, not rowwise or pointwise variance. Rank128 changed from0.597 pointwise to0.949 blockwise.","T104,M198",Adopt S_r/S_f over complete Kerdock bases as a mandatory gate for every future anchor.
Sampled-moment hybrid,Edgeworth k3+k4 reduced Gaussian error dramatically but retained the direct MC variance constant and was2-2.7x worse under matched two-trajectory cost.,"M197,M199",Close same-row sampled-moment analytic-mean hybrids. Sampling moments does not manufacture information.
Smoothed analytic anchor,"Smoothing produced a real residual reduction, but Gaussian closure barely improved in the useful alpha regime. At alpha2 closure remained about5.3e-3 and residual ratio about0.805.","M198,M200",Close the smoothed-network anchor family. Preserve the residual result as evidence that a different truly analytic high-degree anchor could work.
Mixture ladder bracket,"Full covariance K32 is positive but short: mean sigma error about4.8e-3 versus3e-3. Location-latent r64 passes around1.96e-3, but current particles are uneconomic and marginals explain only5-11%.","M201,M202",Continue only compact joint-modulation middle rungs: tied/shared-low-rank covariance or deterministic compression of the passing latent state.
M190 scope correction,An exact degree10 low-band engine has at most1.58x zero-cost standalone gain because only degrees6-10 are newly removed.,"T105,M190",Demote standalone M190. Retain it only as an internal contraction/compression engine or proof lane.
M193/M194 scope protection,"Activation covariance rank does not answer boundary-normal rank, and static LORO does not test a cubic boundary bispectrum.","M193,M194",Both remain bounded one-shot diagnostics; neither is promoted.
M195 scope correction,"A29-feature weight/state LONO test is decisively negative, but it does not close the complete quotient function.","M203,M195","Close handcrafted feature expansion. Keep full QERNO deferred, not active."
Canonical v30 priority,1) M192 untested compact joint-modulation rungs; 2) M188 legal rollout only after a pass; 3) M189 cheap QTT falsifier; 4) M194 one exact boundary kernel; 5) M193 boundary-normal audit; 6) M190 engine/proof only; M195 deferred.,M204,M187 sign–magnitude attribution is folded into M192 rather than a separate program.
Canonical v30 disposition,"No deployable estimator. The local work closes two plausible hybrids honestly, identifies the correct blockwise gate, and brackets the analytic state between a passing but uneconomic latent representation and a compact but inaccurate covariance mixture.",M197-M204,"The main live mathematical problem is deterministic compact propagation of the joint copula state, not more moment sampling or smoothing."
V31 FINAL LOCAL WRITEUP,,,
Mixture evaluation closure,The accurate K1536 heteroscedastic mixture cannot currently be evaluated economically: exact caps nearK100; Taylor fails from component mean spread; low-rank direct evaluation requires r128 and degenerates to n3.,"T106,T107,M205-M207","Close the general heteroscedastic-mixture program, subject to independent reproduction."
Scope exception,"The final analysis does not isolate the exact tied/shared-covariance recurrence, which may reuse correlation structure across components.",M192,Permit one final exact tied/shared-covariance K<=64 test. Do not reopen broad mixture search.
Official baseline validation,"The shipped129-basis estimator reportedly scores1.4641716e-7 adjusted,2.2819432e-7 raw, multiplier0.6427 with0/100 failures on official Mini100.",M208,Retain as the only runnable package. Local propagation is validated to0.03% raw-MSE agreement.
Timing correction,"Observed wall time16.5s/MLP implies about39% guard headroom after the reported11% penalty, not21%.",M208,Timeout insurance becomes optional and should be judged only against its score cost.
Broken root package,Root estimator.py crashes under FlopScope0.9.1 because dot(out=) is unsupported.,M209,Quarantine it immediately. Do not describe it merely as an adjusted-score regression.
Tail concentration,Worst official-Mini network error8.52e-7 is5.8x the mean and roughly6% of total loss.,M210,Allow one no-fit grouped tail mechanism audit; avoid tuning to the single network.
Agreement qualification,The local author reports multiple corrected analytical errors and requests independent reruns of the ladder and Gate2 curves.,M205-M208,"Treat the conclusions as strong local evidence, not final theorem certificates, until regenerated independently."
Revised frontier,"After replication and one tied-covariance exception, M194 becomes the highest-upside class escape; M189 and M193 remain cheap bounded falsifiers. M190 is proof/internal engine and M195 deferred.",M211,There is no current winning candidate or broad primary analytic program.
Where this leaves us,The shipped baseline is robustly runnable but far from a breakthrough. The mixture program has reached an accuracy-versus-evaluation squeeze rather than a representational impossibility.,M207-M211,"Next research must introduce a genuinely different evaluation identity or phase-bearing observable, not another Taylor center, rank truncation, particle count or sampled moment."
