Issue,Previous / ambiguous recording,Corrected evidence,Environment / scale,Confidence,Canonical correction,Source
R85 Degree47 upper dual versus truncated projection shortcut,The original degree47 upper coefficient propagation truncated the harmonic state and was unsafe for an upper bound.,Untruncated closed projections correct the CP ceiling to0.8767108950916256; D47/T57 lower bounds are unaffected.,T56,High,Update T56 numeric ceiling and quarantine the old upper-dual files.,PROMPT1_CONTINUATION_DEGREE123_REPORT.md
R86 Joint profile SDP versus simultaneous abstract sharpness,Coupling many profiles through one shared abstract matrix appeared able to strengthen T58.,T61 constructs one shared abstract block system attaining every profile floor after rescaling.,"T58,T61",High,"Require sphere-ideal, multiplication or atomic-moment constraints; rank/trace coupling alone is closed.",BEST_PATHS_BEYOND_V21_20260730.md
R87 Strict nonattainment versus stronger numeric floor,T62 proves no atomic rule attains the0.9370459569 boundary.,The signed rule space is noncompact; strictness alone does not imply one uniform improved constant.,T62-T64,High,Use bounded-TV/conditioning theorems honestly; seek explicit or TV-free separation.,BEST_PATHS_BEYOND_V21_20260730.md
R88 Finite-width positivity versus coefficient domination,Positive chaos coefficients and limiting convergence could be mistaken for one-sided finite-width domination.,T66 gives an exact width-one counterexample.,"T60,T66",High,Use architecture-specific quantitative intervals only.,BEST_PATHS_BEYOND_V21_20260730.md
R89 Full128 A51 interface versus compression,A51 was described as estimating128 contractions instead of the full256 defect.,"Under the T67 invertibility condition, (Vd,Ed) reconstructs all of d.","A51,T67",High algebra / frozen rank unknown,Do not train all128 outputs generically; target physical rank4/5 contracted scalars.,BEST_PATHS_BEYOND_V21_20260730.md
R90 Generic anti-concentration versus exact local crossing law,The replay program treated conditional density bounds as the primary local bottleneck.,T65 gives exact first/second crossing moments for prefix-measurable sources and independent Gaussian suffix rows.,T65,High,"Shift the proof bottleneck to deep composition, amplification and cross terms.",BEST_PATHS_BEYOND_V21_20260730.md
R91 Exact adjoint identity versus free estimator,A scalar contraction identity appeared to solve observability by itself.,T71 shows the total potential is the original output projection plus a linear term already integrated exactly.,"T70,T71",High,Require a cheaper or analytic band expectation; same-cloud total-potential evaluation is a no-op.,WHestBench_Best_Path_Continuation_v23.md
R92 Fixed oracle gate versus estimator economics,v22 used an approximate source gate below0.20-0.22.,T72 proves the exact adjusted frontier (sqrt(r*)+S)^2; at r*=0.20 only S<0.032802 is allowed.,T72,High,"Report r*, v_j, gamma_j and Smax for every source before validation.",WHestBench_Best_Path_Continuation_v23.md
R93 Deep replay bottleneck versus late-interface compression,The constructive path assumed four checkpoint corrections require a deep Duhamel theorem.,T73 gives exact cheap replay when the multi-channel repair is represented as one last-hidden-layer shift.,"T65,T73",High subject to code indexing audit,Prioritize late-center compression; retain deep composition only as fallback.,WHestBench_Best_Path_Continuation_v23.md
R94 Multi-checkpoint rank versus generic center SVD,Effective checkpoint rank near4 could be misread as a rank4 Jacobian or universal PCA claim.,The rank concerns physical checkpoint repair increments; T67 and past PCA/support failures warn against generic compression.,"M160,T67,T70-T73",High conceptual,"Use four physical depth-band channels and score them with T72, not generic top singular vectors.",WHestBench_Best_Path_Continuation_v23.md
R95 Source-local theorem IDs versus canonical v23 IDs,"MathContinuation labels its results T70/T72/T74/T75, colliding with canonical best-path T70-T73.",Canonical mapping: source T70->T74; arbitrary-mass master result->T75; source T72->T76; source T74->T77; source T75->T78. Source-local T73 overlaps canonical T70/T71/T73.,T70-T78,High,Use only canonical IDs in ledger/manuscript; retain source labels in provenance.,MathContinuation and BestPath v23 Markdown audit
R96 T57 headline versus inertia-strengthened T74,T57 was the strongest static mass-one signed floor at0.9370459569.,T74 raises it to0.9370605226 using actual atomic positive inertia.,"T57,T74",High,Use T74 headline; retain T57 as the abstract block-trace predecessor.,T70_INERTIA_STRENGTHENED_SIGNED_ATOMIC_FLOOR.md
R97 Mass-one theorem versus arbitrary total mass,A static rule might appear able to exploit biased total mass outside T74.,T75 optimizes the constant-mode penalty and gives0.9370603033 with minimizing mass0.9999997660.,"T74,T75",High,State the unrestricted-mass floor separately; do not extend to adaptive/nonlinear estimators.,WHestBench_Math_Continuation_v23_20260730.md
R98 Signed freedom versus negative-atom tax,Negative weights can appear to enlarge the design space monotonically.,"T78 shows every additional minimum negative count raises the inertia floor; >=1,072 cannot gain1.05x and >=4,160 are worse than Kerdock.",T78,High,Near-boundary constructions require sparse negativity; combine count with negative mass and realizability.,T75_SIGN_COUNT_INERTIA_HIERARCHY.md
R99 Suffix nonexpansivity versus end-to-end estimator guarantee,T77 prevents expected checkpoint-state error amplification under an independent Gaussian suffix.,"The WHestBench target may not be replay of one checkpoint state, sources can depend on suffix weights, and the theorem is ensemble not fixed-network.","T73,T77",High,Require replayability and legal independence/leave-one-row separation before score promotion.,T74_GAUSSIAN_RELU_SUFFIX_NONEXPANSIVITY.md
R100 Finite kernel samples versus harmonic coefficient bounds,Pointwise finite-width values may look sufficient to transfer T60.,T76 proves finite samples are nonidentifying and require a nonnegative moment LP plus tail dual.,"T60,T66,T76",High,Start with degree62 directed inputs and rational dual; do not infer coefficients from pointwise closeness.,T72_FINITE_WIDTH_NOISE_STABILITY_MOMENT_DUAL.md
R101 Verification PASS versus independent interval reproduction,The MathContinuation combined verifier passes all packaged rational/script tasks.,It reuses stored v21 directed coefficient endpoints; it does not independently regenerate them. The older BestPathsBeyondV21 aggregate release also has hard-coded paths and missing A51 raw inputs.,T74-T78; Q7,High,Keep external Arb/FLINT regeneration and clean-unpack repair as separate gates.,combined_verification_v23.json; WHestBench_Math_Continuation_v23_20260730.md
R102 Fixed-support posterior floor versus matched off-support information,The 0.322835 R_K degree-two posterior floor can be misread as irreducible nonlinear noise.,"T79 decomposes it: 99.9694% is observed–hidden cross chaos, and one matched scalar can remove that part.",T79,High in Gaussian transcript scope,State the floor only for the fixed transcript; prioritize the matched innovation scalar.,T79_POSTERIOR_SCORE_CONTRACTION.md
R103 CLAF exact fan algebra versus source capacity,Exact integration and cross-fitting can appear to guarantee a strong correction.,Every fan output remains in W31 times the sampled physical source span; T80 gives the exact oracle ceiling.,T80,High,Run the union-span residual gate <=0.00502 before implementation or coefficient fitting.,T80_CLAF_PHYSICAL_SOURCE_SPAN_GATE.md
R104 Two-plane Gaussian diagnostic versus finite-width CLAF,M172 finds approximately6.4e-5 capture in the final-preactivation Gaussian channel.,"CLAF evaluates a richer transported late-source field, so M172 alone cannot close it.","M172,T80",High scope guard,Use M172 as a falsifier; use T80 source arrays for the decisive closure.,POSTERIOR_SCORE_PLANE_DIAGNOSTIC.md
R105 New work versus parallel agents,Infinite-factor positivity and width256 degree62 transfer are active parallel branches.,This continuation does not alter or duplicate them; it targets posterior innovation and CLAF source capacity.,"T79,T80",High coordination,Review those branches only after frozen outputs; do not rerun their searches.,NON_OVERLAP_AND_PRIORITY_MAP.md
