ID,Branch,Experiment,Environment,Population / geometry,Screen N,Validation N,Holdout N,Protected holdout opened?,Canonical result,Candidate/base ratio,Wins,Worst ratio,Compute status,Status,Closure confidence,Potential upside,Next action,Source,
A48,Kerdock allocation / arithmetic,Recovered full-width basis-count curve and seven-arm package,Frozen synthetic full-width grouped test plus official-shape packages,16 base networks x 2 grouped rotations; archived float16 weights,0,32,0,No; historical block already exposed,"129 raw MSE 3.013100e-7. 96/64/32 raw ratios 1.3847/2.2475/4.2476, each 0/16 wins. Row-scaled adjusted ratios 1.0275/1.1123/1.0522. 96 tracked-only lower bound 1.000554 and requires 1.067x raw gain with +5B control.",1.3847,0/16 at 96 bases,Not reported,Seven-arm package ready; official residual wall and subprocess economics pending,PASS economic screen / BLOCKED official,High for raw ordering; moderate near 96 adjusted parity,96-base control host only; none standalone,"Run production, A42, A43, A43-delta64, 96, 64 and 32 in one frozen local official suite; submit only the measured shipping winner.",T0_Unblocked_20260729/REPORT.md; RESULTS_test.json; CONTROL_HURDLES.csv,
M146,Layer31 anchor,Reported anchor precision and depth curve,Claimed exact all-layer truth plus perturbations,Claimed 60 networks; source rows absent,60,0,0,No,"Reported values fit a quadratic risk curve, but original rows, IDs, directions, reference streams, replay outputs and manifest are missing. Direction-independent threshold wording is false in general.",,Claimed,Not verifiable,No deployable method,PROVISIONAL / NON-EVIDENCE,Low until source recovery,Historical mechanism only,Omit headline numbers; use downstream-weighted eta_J and exact replay gate.,Agent6 audit; EVIDENCE_QUARANTINE.md,
T27,Quadrature theory,Global Kerdock-line support theorem,Exact closed-form proof,"All33,024 projective Kerdock lines",0,0,0,No,Arbitrary real weights/supports inside the line universe optimize by complete-basis concentration.,,Theorem,Theorem,No runtime,Exact restricted theorem,High in restricted scope,Strong proof addition,Independent derivation; distinguish from unrestricted signed rules.,GLOBAL_SUPPORT_THEOREM.md,
M147,Layer31 anchor,Exhaustive T4 closure,Fresh grouped development,16 bases×3 rotations,48,0,0,No,"Frozen policy1.127854,17/48,worst2.480711; severe recall57.14%, false suppression35%; affordable centers≈0.94.",1.127854,17/48,2.480711,Protected cohorts unopened,Closed T4 hedge,High,None deployable,Retain API/instrumentation only.,REPORT(12).md,
M148,Implementation,Same-row legal arithmetic lower bounds,Exact operation analysis plus local pairs,"Same66,048-row architecture",0,48,0,No,Standard floor161.54B; favorable rank48 floor159.54B; oracle sparse min130.587B with0/48 below126.6B.,,Lower bound,N/A,Hard lower bounds,Closed arithmetic explanation,High,Leaderboard interpretation,No neighboring same-row arithmetic tree.,REPORT(15).md,
M149,Public frontier,High-row/accounting explanation,Public metadata plus fresh synthetic,Public100 plus fresh12,12,100,0,No,"Released90,624-row package raw2.045e-7 at51.85B with0 tracked FLOPs; near1/N scaling explains several frontier points.",,Explanatory,N/A,Underinstrumented native compute,No estimator promoted,Moderate-high; attribution limited,Leaderboard interpretation,Reopen on source/fixed regrade/legal raw<1e-7.,REPORT(14).md,
T28,Proof / observability,"Correction, replacement, non-identifiability and signed-stability package",Formal derivations plus certified residual constant,Abstract Hilbert/replay models,0,0,0,No,"Exact risk/selector/replacement/shrinkage formulas, common-bias theorem, ReLU crossing bound, and signed negative-mass lower bound. Exact M=0.017021894267861247; unrestricted signed curve is weak.",,Theorems,Theorems,No runtime,Proved/certified under assumptions,High,Paper core,Use eta_J and exact replay; state signed and observation-model limits.,PAPER_APPENDIX_LAYER31.md; signed-weight audit,
M152,Learned scalar correction,"Claimed 1,100-network campaign",No recoverable primary package,"Claimed 1,100 train + exposed 100",1100,100,0,No,"No corpus, target, features, grouped splits, predictions, script or hashes were located.",,Unverified,Unverified,Unknown,INVALID AS EVIDENCE / REMOVED,None,None until original package exists,Exclude every numerical claim; keep only in reproducibility-failure appendix.,Agent7/Agent9 audits; EVIDENCE_QUARANTINE.md,
T29,Static theory,All-width complete-support fixed-linear symmetry,Exact proof + exhaustive row-profile audit,"Complete 66,048-point Kerdock support; any finite width",0,0,0,No,Uniform mass-one fixed weights minimize ensemble MSE; free-mass optimum is alpha-scaled uniform with negligible infinite-width gain.,,Theorem,Theorem,No runtime,Proved under explicit model,High,Strong scope result,Human proof audit; include fixed-linear exclusions.,Agent3 Cascade FINAL_REPORT.md,
T30,Kernel theory,Full all-degree auxiliary-LP optimum,Computer-assisted proof,d256/depth32 limiting kernel; all admissible nonnegative Gegenbauer expansions,0,0,0,No,Unique degree-5 Hermite optimum; Kerdock relative-excess upper versus auxiliary optimum 0.023324172950039%.,,Theorem,Theorem,No runtime,Computer-assisted certified,High,Major proof strengthening,Hostile human review and release integration.,T16_FULL_LP_THEOREM.md,
T31,Proof release,Explicit MUB construction and v5.1 release hardening,Exact construction + independent arithmetic audit,129 bases / proof archive,0,0,0,No,"8,128 pair Walsh checks pass; production asset matches; 32 canonical outputs, 23 chunks, 59 manifest entries; stale v4 quarantined.",,Verified,Verified,No runtime,Release-hardened,High,Publication integrity,Externally anchor archive digest and run CI/full regeneration.,T22_RELEASE_CLOSURE.md; Agent2 strengthening,
T32,Scope theorem,Post-ReLU nonlinear counterexample,Exact argument + synthetic counterexample,Post-ReLU challenge output,0,0,0,No,Observed limiting field is non-Gaussian; best linear kernel rule is not an all-algorithm Bayes optimum.,,Theorem/counterexample,Theorem,No runtime,Universal route invalidated,High,Prevents overclaim,Include counterexample and remove Gaussian no-adaptation claims.,Agent3 Cascade FINAL_REPORT.md,
T33,Adaptive theory,Runtime-information value and observability ratio,Exact Hilbert projection theorem,Abstract runtime information classes,0,0,0,No,Optimal measurable correction is E[e|G]; gain is E||E[e|G]||²; observability ratios are class-specific.,,Theorem,Theorem,No runtime,Proved,High,Core conceptual framework,Use to normalize oracle-versus-runtime claims.,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md,
T34,Finite-width theory,Kernel perturbation transfer,Exact deterministic bound,Kernel classes with l1 weight bound,0,0,0,No,"Risk changes by at most epsilon(1+B)^2; near-optimality transfers with an explicit penalty, but no width256 epsilon is available.",,Theorem,Theorem,No runtime,Conditional theorem / target open,High,Future proof target,Do not claim finite-width transfer without quantitative kernel bound.,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md,
T35,Control theory,Residual-kernel recertification,Exact identity,Analytic-plus-residual estimators,0,0,0,No,Transformed estimator error is kernel discrepancy for the residual second-moment kernel; original Kerdock certificate need not persist.,,Theorem,Theorem,No runtime,Proved identity,High,Constructive methodology,Freeze transformation and recertify residual kernel.,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md,
T36,Control theory,Uniform control-nullspace theorem,Exact identity,Families uniformly integrated exactly by Q,0,0,0,No,Adaptive global parameter tuning cannot help when every resulting control remains in Q's exactness/null space.,,Theorem,Theorem,No runtime,Proved,High,Exact class closure,Apply only to named uniformly annihilated families.,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md,
T37,Static theory,MUB support extremality under sign conditions,Exact association-scheme proof,"MUB line universes with explicit A,O,C signs",0,0,0,No,Complete bases plus one partial basis optimize real weights under sharp sign conditions; unconditional PSD-kernel version is false.,,Theorem,Theorem,No runtime,Proved under sharp conditions,High,General theorem,State sign conditions and counterexample together.,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md,
M153,Layer31 learning,T4 grouped phase-predictability audit,Fresh grouped development,16 base networks ×3 rotations,48,0,0,No,All tested grouped OOF R² values negative; learned selector worse than best fixed arm.,,Grouped development,N/A,Low-cost features,Closed exact dictionary,High,None for tested representation,Do not upper-bound all trajectory information.,Agent3 Cascade FINAL_REPORT.md,
M154,Cascade diagnostic,Mode-resolved transfer probe,Fresh synthetic diagnostic,12 networks ×192 rows,12,0,0,No,Max tested mean/random/shape transfer gains 1.011/1.196/0.143; no tested mode above 1.5.,,Diagnostic,N/A,Diagnostic only,Retained diagnostic,Moderate,Mechanism evidence,No theorem extrapolation.,Agent3 Cascade FINAL_REPORT.md,
M155,Layer31 anchors,Downstream-weighted archived-anchor rescoring,Development fit + exposed external groups,28 external archived cases,16,28,0,No,"Best arm raw 0.851978, 21/28 wins, p90 1.3407, worst 1.9242; rotation expansion regressed.",0.851978,21/28,1.9242,Existing archived arm,Closed for submission,High,Diagnostic only,Retain exact replay gate; no submission revival.,REOPENED_PATHS_FINAL_REPORT_20260730.md,
M156,Analytic controls,Symmetrized spherical Poisson controls,Preregistered synthetic terminal,"4 fit, 16 exploratory, 16 terminal",4,16,16,No,"Exploratory raw 0.92858 reversed to terminal 1.03794, 7/16 wins, worst 1.18595.",1.03794,7/16,1.18595,Additional control cost,Closed tested family,High,None,Do not generalize to all high-degree analytic controls.,REOPENED_PATHS_FINAL_REPORT_20260730.md,
M157,Analytic-plus-residual,Projected exact-mean ReLU controls,Preregistered terminal + no-refit extension,"4 fit, 16 exploratory, 48 terminal/extension",4,16,48,No,16-network raw 0.92724 reversed to 48-network raw 1.01268; projected adjusted 1.06687; worst 1.31239.,1.01268,18/48,1.31239,Optimized incremental ~9.398B,Closed tested family,High,None,No further dictionary/ridge tuning.,REOPENED_PATHS_FINAL_REPORT_20260730.md,
M158,Signed probes,Outside-Kerdock near-collision differences,Frozen global coefficients,64 synthetic validation networks,4,64,0,No,"Per-network oracle raw 0.13118, but global raw 1.55731, 8/64 wins, worst 5.40356.",1.55731,8/64,5.40356,Probe/control overhead,Closed transferable class; oracle retained,High,Large oracle only,Reopen only with analytic network-specific phase.,REOPENED_PATHS_FINAL_REPORT_20260730.md,
G01,Evidence governance,Latest evidence quarantine and master claim register,Cross-agent source audit,Whole project,0,0,0,No,Stale T22 v4 quarantined; M146 provisional; M152 removed; M76/M145 numeric claims downgraded; public accounting remains unaudited unless separately traced.,,Governance,N/A,No runtime,Active canonical governance,High,Publication integrity,Use claim labels and source chain in every table.,EVIDENCE_QUARANTINE.md; MASTER_CLAIM_REGISTER.md,
A49,Shipping,Frozen seven-arm local subprocess comparison,Local isolated processes; official stack absent,Seed-51000 synthetic contract; seven immutable packages,7,0,0,No,All arms ran; A42/A43 bit-identical; A42 fastest full-width locally; official grade unavailable.,,N/A,N/A,Local wall/RSS only,Local complete / official blocked,High for local execution; none for official grade,Shipping smoke only,Run official environment externally; retain production until then.,LOCAL_SUBPROCESS_REPORT.md,
M159,Competition closure,Final exact-mean and anchor descendants,Fresh full-width synthetic grouped protocols,Stein validation 16; T4 8x3 rotations,16,8,0,No,Stein 1.010720; T4 shrink 1.000097; same-span oracle gain 1.167584x; no deployable win.,1.000097,3/8 T4; 9/16 Stein,1.1302,Additional Jacobian/control costs not favorable,Closed tested descendants,High for tested forms,Oracle mechanism only,No more fitting/dictionaries in these information classes.,Agent5 final report,
T38,Finite-width theory,Fixed MUB-line finite-width extension,Exact proof,Any finite width/depth under Gaussian-first-layer nondegeneracy,0,0,0,No,Complete bases plus at most one partial basis optimize arbitrary real weights in fixed MUB line universe.,,Theorem,Theorem,No runtime,Proved scoped theorem,High,Publication strengthening,Keep arbitrary-node finite-width T22 open.,OPEN_QUESTIONS_PROGRESS_20260730.md,
T39,Observability theory,Group-invariant information projection,Exact proof,Abstract compact/finite group model,0,0,0,No,Only invariant error component is recoverable; orientation-blind corrections have zero value under exact sign symmetry.,,Theorem,Theorem,No runtime,Proved under model,High in scope,Paper core,State actual symmetry as empirical hypothesis.,OPEN_QUESTIONS_PROGRESS_20260730.md,
T40,Residual theory,Equivariant residual spectral recertification,Exact proof,Isotropic harmonic model; deterministic equivariant linear operator,0,0,0,No,Residual coefficients become |1-tau_l|^2 q_l; live degrees require recertification.,,Theorem,Theorem,No runtime,Proved identity,High,Methodological contribution,Do not extrapolate to arbitrary nonlinear surrogates.,OPEN_QUESTIONS_PROGRESS_20260730.md,
T41,Proof audit,Complete T22/T23 dual-engine reproduction,Direct-C GMP/MPFR plus original Decimal/libmpdec,"1,421 intervals; 23 chunks; full theorem assembly",0,0,0,No,Independent ratio upper 1.00023365501029481377...; GCC/Clang match; sanitizers pass.,,Proof,Proof,Reproducibility only,Verified / release-hardened,High,Major trust-base strengthening,"External digest, cross-OS CI and named human review remain.",Agent2 dual-engine report,
T42,Observability theory,Downstream-weighted conditional normal equation,Exact proof,Hilbert/layer correction with random PSD downstream score,0,0,0,No,Optimal runtime layer correction is Sigma_G^dagger mu_G; E[A|G] is a valid specialization when J is observable.,,Theorem,Theorem,No runtime,Proved,High in scope,Paper core,Use to correct informal E[A|Z] layer-space claims.,WHESTBENCH_CONDITIONAL_OBSERVABILITY_THEOREM_PROGRAM_20260730.md,
T43,Observability theory,Quantitative phase-flip and phase-information ceilings,Exact proof,"Declared transcript, involution or finite phase/action experiment",0,0,0,No,"Approximate phase flip, triangular-discrimination, TV, mutual-information, sequential-probe and Fano bounds quantify recoverable oracle phase.",,Theorem,Theorem,No runtime,Proved / application open,High mathematically; application unproved,Potential class-wide closure,Prove an actual transcript symmetry or KL/TV bound.,Conditional observability memo; Best Theorem Targets,
T44,Kernel theory,Positive-definite optimized residual,Directed interval + exact harmonic algebra,d=256 depth-32 limiting kernel and certified T16 optimizer,0,0,0,No,K32-h* has nonnegative Gegenbauer coefficients in every degree; degrees 0-5 are strictly positive.,,Proof,Proof,Verification only,Computer-assisted / second stack pending,Moderate-high pending independent replay,Structural paper addition,Reproduce coefficient enclosure with Arb/FLINT or another stack.,Best Theorem Targets bundle,
T45,Signed cubature theory,Arbitrary-signed-node rank floor,Exact rank theorem + interval coefficient comparison,"Infinite-width K32; <=66,048 arbitrary nodes; real mass-one weights",0,0,0,No,Risk is at least1.7017556669835916e-8 =0.069925767 of Kerdock risk; improvement at most approximately14.30088x.,0.069925767,Theorem,Theorem,No runtime,Computer-assisted theorem / audit pending,Moderate-high in scope,Partial signed closure,Independent directed-rounding audit; do not call near-optimality.,Best Theorem Targets bundle; ORACLE_CONTINUATION_HOSTILE_AUDIT.md,
T46,Companion theory,Exchangeable companion frontier,Exact algebra,Exchangeable deterministic sources with fixed second moments and linear compute cost,0,0,0,No,Equal coefficients are optimal for fixed total scale; exact raw and adjusted frontiers follow; stated moment inequalities make adjusted score nondecreasing.,,Theorem,Theorem,No runtime,Proved under model,High in scope,Class-specific closure,Keep adaptive/orientation-sensitive coefficients outside scope.,STRONGER_IMPOSSIBILITY_BOUNDS.md,
M160,Oracle structure,Cross-layer repair coherence,Authenticated archived arrays,"Development, validation and confirmation checkpoint-repair arrays",0,0,0,No,Per-base spectra: effective rank3.680/3.852/4.111; every base needs4-5 components for90% energy; mean absolute off-diagonal cosine about0.09. Pooled figures remain consistent.,,Mechanism,Mechanism,No deployment path,Authenticated within-network multi-component result,High for archived arrays,Defines multi-channel source target,Construct four or five legal source channels; retire the scalar-bias narrative.,OracleContinuation FINAL_REPORT.md; FINAL_REVIEW_REPORT.md,
M161,Adaptive correction,Five-source downstream coefficient synthesis,Grouped development + diagnostic later splits,Five legal correction sources; fixed feature and ridge menus,0,12,12,No,Development selected rule 1.132; confirmation feature rule 0.872/worst3.055 versus fixed global0.778; oracle span0.454.,0.872,Diagnostic,10/12 confirmation,3.055,Archived compute only,Closed tested class,High against exact class,Oracle basis remains,No more fitting on same source/features; seek new representation.,OracleContinuation FINAL_REPORT.md
M162,Phase learning,Projected-ReLU source ceiling and invariant summaries,Frozen independent-network split,68 width-256 networks; untouched test of 16 networks,0,0,16,No,Test oracle gain1.144709 below1.15 gate; ridge/ExtraTrees/RF ratios1.070/1.030/1.011 with unsafe tails.,1.011,7/16 best,1.32,Full Edge-DWS avoided after source-ceiling failure,Frozen empirical closure / source ceiling,High for source and cheap models,None on this label,Reopen architecture only with a stronger frozen source.,OracleContinuation FINAL_REPORT.md,
M163,Companion economics,Exchangeable companion confirmation certificate,Frozen grouped confirmation moments,Four base networks x three rotations,0,0,12,No,"eta0.04316 vs required0.10996; one-companion adjusted1.07505, bootstrap[1.014,1.104].",1.075054,0 score-positive bootstraps,,Moment-model compute accounting,Frozen empirical certificate,High for fitted moments / conditional population claim,None deployable,Do not extrapolate all-m population monotonicity without tighter margin.,STRONGER_IMPOSSIBILITY_BOUNDS.md,
M164,Partial-MUB,24-basis rank-24 untouched validation,Prospectively frozen grouped validation,24 fresh width256 networks,8,24,0,No,"Candidate/base0.900038; raw gain1.111064 CI[1.024848,1.224765],19/24,worst1.260358. Compute ratio1.182324; adjusted gain0.939729 CI[0.866808,1.035896].",0.900038,19/24,1.260358,Complete candidate accounting; adjusted negative,Closed after untouched validation,High for frozen candidate,None deployable,Keep64-network holdout sealed; no descendants.,Remaining-items continuation report; frozen M164 results,
T47,Signed cubature theory,Weighted harmonic arbitrary-signed floor,Exact rank theorem + directed interval coefficient comparison,"Infinite-width K32; <=66,048 arbitrary nodes; real mass-one weights",0,0,0,No,Historical degree15 floor0.5051771255 R_K; superseded by D47/T56 and the degree280 T57 floor0.9370459569 R_K.,0.505177125470747,,,Verification only,Valid theorem / superseded numerically,High in scope,Proof genealogy only,Use T57 for current competition and paper headlines.,T47_WEIGHTED_HARMONIC_RANK_FLOOR.md,
T48,Observability theory,Gauge-invariant coefficient obstruction,Exact quotient/sign-gauge argument,Declared orientation-blind correction representation,0,0,0,No,A representation-consistent signed coefficient policy on the full sign quotient must vanish.,,,,No runtime,Proved for declared representation,High in scope,Closes orientation-blind coefficient architecture,Escape only through a canonical orientation-odd observable; do not generalize to physical estimator impossibility.,ORACLE_PROOF_COMPLETION_REPORT.md; ORACLE_CONTINUATION_HOSTILE_AUDIT.md,
A50,Phase learning,Canonical orientation-odd K32 radial phase observable,Grouped leave-one-network-out development,Four fresh width256 networks x three rotations,12,0,0,No,Full source oracle0.425151; rank4 oracle0.768891. Best grouped legal policy1.072363; even+odd1.079003; odd-only1.107654.,1.072363,2/12 best single,1.263621,Development analysis only,Development failure / exact construction closed,Moderate due four base networks,Full128-probe source remains,Do not validate this construction; seek explicit full-contraction observable.,Non-compute continuation report; A50 analysis,
M165,Analytic residual,Same-design Edgeworth covariance source,Development same-design analytic diagnostic,Three width256 networks; layers16 and24,6,0,0,No,One-step Gaussian variance error reduced by typical factors around20-25x; rank32 retained nearly all layer24 correction.,,,,No deployment measurement,Mechanism validated / final value unresolved,Moderate replicated mechanism,Potential source only,Require a high-value final correction basis before further validation.,Non-compute continuation report,
M166,Analytic residual,Edgeworth final estimators,Development exact final replay,"Named recursive, marginal and downstream source forms",0,0,0,No,Recursive ratios about4.4-4.8; full marginal E4 about1.043; downstream source target-labeled capacity only about1-2% in first evaluable case.,1.043,0/5 full E4,,No score-positive form,Closed tested analytic final forms,Moderate-high for named forms,None,Do not continue without a prespecified final-output oracle ceiling.,Non-compute continuation report,
M167,Radial center,Edgeworth center estimate,Five development cases,Three width256 networks; literal rotations,5,0,0,No,"E3 center mean0.978178,3/5,worst1.010361; E4 mean1.004289; 10% E3 blend0.997835. Median reference-noise fraction17.8%.",0.978178,3/5,1.010361,No deployment accounting,Exploratory weak signal / no validation,Low-moderate due N and noise,Small mechanism only,No validation; require larger final-output source effect.,Non-compute continuation report,
M168,Adaptive nonlinear,Nonlinear 129-basis aggregation,Frozen cross-rotation proxy holdout,Eight development and four holdout networks; three rotations each,24,0,12,No,"Dev geomed0.972815; frozen holdout1.005381,7/12,median0.944836,worst1.340251.",1.005381,7/12,1.340251,No official score; proxy only,Frozen proxy holdout failure / class closed,Moderate for representation,None,Close robust/power-mean aggregation in this representation.,Non-compute continuation report; HOLDOUT_GEOMED.json,
A51,Radial phase,Full128-probe center-contraction recovery,Research target,Exact lower-recentering interface,0,0,0,No,Full K32 half-scale oracle mean0.425151; current four-mode source0.768891 and legal policy>1.,,,,Not executed,Genuine open target / identity required,High source capacity / no estimator,Potentially material,"Proceed only with explicit identity or new legal observable, not generic learning.",Non-compute continuation report,
T49,Gauge theory,Minimal odd information theorem,Exact proof,"Global Z2, independent (Z2)^m sign gauges",0,0,0,No,One odd scalar escapes a single global-sign quotient; independent signs require odd characters spanning the full dual.,,,,No runtime,Proved,High in scope,Constructive representation requirement,Declare the true gauge group before any phase experiment.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T50,Gauge theory,No continuous global sign section,Exact topology,"S^(d-1)->RP^(d-1), d>=2",0,0,0,No,No continuous global orientation section exists; every continuous odd scalar has zeros.,,,,No runtime,Proved,High,Local gauge only,Use margin plus abstention; no globally stable pivot claim.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T51,Gauge theory,Polar reference gauge,Exact linear algebra,Rank-k source frame and legal reference frame,0,0,0,No,"U polar(U^T B) is right-gauge invariant, ambient-covariant and unique iff the cross-Gram is nonsingular.",,,,No runtime,Proved,High,Canonical local orientation,Use rank-k non-co-rotating reference frame.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T52,Gauge theory,Cross-Gram stability certificate,Exact perturbation theorem,Finite precision and physical perturbations,0,0,0,No,Orientation error is controlled by cross-Gram perturbation over the smallest singular-value margin.,,,,No runtime,Proved,High,Certified abstention,Report numerical and physical margins separately.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T53,Adaptive correction theory,Phase-error risk transfer,Exact Hilbert identity,Frozen source span and final-output score geometry,0,0,0,No,R(c_hat)=R_oracle+||c_hat-c*||^2; eta=2E_Delta[t]-E_Delta[t^2]; wrong full signs cost four improvement units.,,,,No runtime,Proved,High,Exact promotion gates,Use improvement-weighted sign and abstention statistics.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T54,Gauge counterexample,Positive-pivot instability,Exact counterexample,Coordinate ties and repeated singular blocks,0,0,0,No,Largest-coordinate orientation can jump by norm 2; repeated singular values leave unresolved block rotations.,,,,No runtime,Counterexample / narrowed,High,Prevents invalid canonicalization,Use direct odd contractions or polar block alignment.,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md,
T55,Signed cubature theory,All-rank trace-preserving obstruction,Exact analytic proof,Arbitrary symmetric rank<=r same-trace matrices,0,0,0,No,Exact minimum Frobenius error uses the top-r eigenspace and a uniform trace correction; indefinite matrices do not help.,,,,No runtime,Proved,High,Strengthens rank lemma,Use r=N conservatively in signed certificates.,PROMPT1_WEIGHTED_SIGNED_FLOOR_REPORT.md,
T56,Signed proof-method boundary,Degree-47 CP-mixture dual ceiling,Directed MPFR plus exact algebra,"d256/depth32 infinite-width, degree<=47 CP comparison cone",0,0,0,No,0.7910122891 R_K <= beta_47^CP <= 0.8767108055 R_K; the 1.10 target is impossible inside this proof class.,0.7910122891,,,Verification only,Computer-assisted / review pending,Moderate-high,Proof-class closure,Higher cutoff or different cone required.,PROMPT1_WEIGHTED_SIGNED_FLOOR_REPORT.md,
T57,Signed cubature theory,Degree-280 signed near-optimality certificate,Directed interval certificate,"d256/depth32 infinite-width; <=66,048 arbitrary nodes; real mass-one weights",0,0,0,No,Risk floor 0.9370459569114724 R_K; same-cost gain cap 1.067183517x.,0.9370459569114724,,,Verification only,Computer-assisted / external review pending,High inside declared scope,Closes equal-cost static signed winning route,Independent Arb/FLINT reproduction and human review.,SIGNED_NEAR_OPTIMALITY_CERTIFICATE_BLOCKTRACE_ORDER320.json,
T58,Signed proof-method boundary,Block-trace relaxation sharpness,Exact Schur-Horn proof,Released comparison profiles,0,0,0,No,Rank plus individual harmonic block traces are exactly sharp over abstract symmetric matrices.,,,,No runtime,Proved,High,Redirects proof effort,"Exploit point-evaluation realizability, not more block-trace optimization.",BLOCKTRACE_RELAXATION_SHARPNESS_AND_EQUALITY.md,
T59,Signed realizability theory,Atomic equality zero-code characterization,Exact proof,Full active-node rank,0,0,0,No,Equality requires N equal positive weights and pairwise zero feature-kernel inner products.,,,,No runtime,Proved under rank condition,High,Defines residual theorem gap,"Develop zero-code, idempotence-defect or joint-moment bounds.",BLOCKTRACE_RELAXATION_SHARPNESS_AND_EQUALITY.md,
T60,Finite-width theory,Subcertificate degree frontier,Exact witness truncation,Cutoffs 22-280,0,0,0,No,90% floor requires degrees<=128; 93% requires<=194; full witness uses<=280.,,,,No runtime,Exact frontier / actual-width open,High,Compressed finite-width target,Use finite-width noise-stability moment LP plus Kerdock upper bound.,FINITE_WIDTH_TRANSFER_FRONTIER.md,
M169,Signed certificate audit,Continuous and multiblock cone correction,Corrected numerical analysis,Released witness and repaired discovery programs,0,0,0,No,"Overflow repair raises numerical frontier only to 0.9370496/0.9370553, under 0.001 percentage point above the exact theorem.",,,,Discovery only,Corrected diagnostic,High for correction,No material theorem gain,Quarantine prior saturation claim; target realizability.,CONTINUOUS_CONE_AND_MULTIBLOCK_AUDIT.md,
M170,Layer31 support,K<=32 support-menu oracle ceiling,Archived high-reference diagnostic,Rotations 3 and 19; four named support families,0,0,0,No,Target-labeled best family captures 40.53% on rotation19 and 48.54% pooled.,,,,Oracle amplitudes,Closed exact menu,High for menu,Larger/multi-checkpoint basis remains,Do not train amplitudes/selectors on the same four supports.,TARGET_FREE_SUPPORT_CAPACITY_REPORT.md,
M171,Adaptive coefficients,Constant-first drift diagnosis,Authenticated archived analysis,"Development, validation and confirmation five-source coefficients",0,0,12,No,Feature model reverses the globally useful first sign in most cases; confirmation pooled 0.872 versus 0.778 global.,0.872,Global better 8/12,,No new compute,Protocol correction,High for archived rows,Residual-only learning may remain,Freeze global coefficient and learn bounded Gram-whitened residual only.,ORACLE_CONSTANT_FIRST_DIAGNOSIS.md,
T61,Signed proof-method boundary,Simultaneous block-trace sharpness,Exact linear algebra,All nonnegative harmonic profiles under shared abstract block system,0,0,0,No,One shared abstract block matrix attains every profile floor after diagonal rescaling.,,,,No runtime,Proved,High,Exhausts profile coupling without sphere identities,"Add atomic moment, multiplication or sphere-ideal constraints.",BEST_PATHS_BEYOND_V21_20260730.md,
T62,Signed realizability theory,Strict nonattainment of degree-280 floor,Exact Gegenbauer gcd/Bezout proof,Released degree-280 certificate,0,0,0,No,No actual atomic spherical rule attains the 0.9370459569 R_K floor.,,,,No runtime,Proved,High,Shows abstract boundary is unrealizable,Seek a quantitative uniform or conditioned gap.,BEST_PATHS_BEYOND_V21_20260730.md,
T63,Signed realizability theory,Bounded-TV gap,Compactness corollary,Rules with total variation <=V,0,0,0,No,For every finite V there is epsilon(V)>0; near-floor sequences require TV divergence.,,,,No runtime,Proved / nonconstructive,High qualitatively,Rules out stable bounded-weight near-attainment,Make epsilon(V) explicit or remove the TV condition.,BEST_PATHS_BEYOND_V21_20260730.md,
T64,Signed realizability theory,Conditioned two-profile stability,Exact matrix inequality,Weights >=mu and evaluation singular values >=s,0,0,0,No,Two incompatible profile excesses cannot both vanish under uniform conditioning.,,,,No runtime,Proved under assumptions,High,Identifies necessary degeneracies,Strengthen constants using separation or shared moments.,BEST_PATHS_BEYOND_V21_20260730.md,
T65,Exact replay theory,Gaussian ReLU crossing moments,Exact bivariate integration,Prefix-measurable source and independent Gaussian suffix row,0,0,0,No,First and second crossing-remainder moments are explicit angular functions.,,,,No runtime,Proved,High locally,Removes generic anti-concentration at local suffix steps,Control the deep Duhamel sum and cross terms.,BEST_PATHS_BEYOND_V21_20260730.md,
T66,Finite-width theory,Coefficient-monotonicity counterexample,Exact width-one construction,Gaussian ReLU finite width versus infinite width,0,0,0,No,Finite-width coefficients do not universally dominate limiting coefficients.,,,,No runtime,Proved no-go,High,Prevents invalid width-256 transfer shortcut,Build architecture-specific moment or chaos intervals.,BEST_PATHS_BEYOND_V21_20260730.md,
T67,Layer31 interface,A51 full-interface equivalence,Exact block inversion,128 distinct selected coordinates; conditional invertibility,0,0,0,No,"Under invertibility, (Vd,Ed) is a bijective encoding of the full center defect.",,,,No runtime,Conditional theorem,High algebra / frozen rank unknown,Narrows constructive target to contracted scalars,Audit frozen V if available; otherwise derive A^T e directly.,BEST_PATHS_BEYOND_V21_20260730.md,
