ID,Evidence level,Family,Experiment,Result,Verdict,Primary source,Status,Evidence tier,Overlap cluster,Update batch
M39,Synthetic / diagnostics,Sensitivity modes,Jacobian and actual error-impact spectra,90% of Jacobian energy in 11 modes; 90% of actual sigma-error impact in 6 modes.,Useful compression clue,Pasted text (5).txt,Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
M40,Synthetic width 256; oracle pair moments,Explicit bivariate Edgeworth closure,"Third- and fourth-order pair correction using c21, c31, c22 and marginal cumulants",Gaussian next-variance relative RMS 2.564%; third order 1.009%; third+fourth order 0.288%.,Strong one-step mathematical result,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Oracle / diagnostic,Moment/cumulant closure,Prior catalog
M41,Synthetic sampled higher moments with oracle first/second moments,Edgeworth moment sampling,Sample-count sweep for pairwise higher moments,"Layer-31 relative RMS: 1.381% at 1,500; 1.008% at 3,000; 0.779% at 6,000; 0.632% at 12,000; 0.552% at 24,000; 0.516% at 48,000.",Higher moments are estimable but expensive,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Oracle / diagnostic,Moment/cumulant closure,Prior catalog
M42,"Fully deployable synthetic 6,000-sample moments",Edgeworth covariance closure,"Estimate first, second, and higher pair moments from the same pilot",Performance became roughly tied with directly sampled sigma at about 1.8–2.4%; the earlier ~0.9% result relied on oracle first/second moments.,No deployable advantage,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M43,Synthetic depth ablation,Higher Edgeworth terms,Add the formal kappa3-squared term,Improved early layers but worsened deep-layer errors by roughly 14–48%.,Asymptotic series should be truncated,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M44,Synthetic self-consistent width-64 rollout,Edgeworth rollout stability,Damp oracle and sampled covariance corrections during recursive rollout,"Gaussian final MSE 8.52e-5; oracle strengths 0.25 and 0.50 gave 6.53e-5 and 3.92e-5; 0.75 was unstable; 6,000-sample correction was unstable even at low strengths.",One-step accuracy is insufficient; stability unresolved,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M45,"Synthetic width 256; 6,000 samples",Covariance shrinkage,Raw sample covariance versus Ledoit–Wolf and OAS,"Quadratic-form errors 2.1096%, 2.1089%, and 2.1082%, respectively.",No meaningful gain,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M46,Oracle synthetic width 256,Covariance compression,Replace/correct top sample-eigenvector blocks of size 8–128,Errors: top 8 1.605%; 16 1.369%; 32 1.058%; 64 0.736%; 128 0.371%.,Relevant covariance defect remains high-dimensional,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Oracle / diagnostic,Particle compression,Prior catalog
M47,Synthetic held-out learning,Pairwise denoising,Learn pair residuals with ordinary pairwise loss,"Held-out pair residual R2 about 0.91, but contracted next-variance error worsened to 4.68% versus 2.19% for direct sampled covariance.",Pairwise RMSE/R2 is the wrong objective,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Full-width holdout,Learned white-box models,Prior catalog
M48,Synthetic,Mehler/Hermite covariance closure,Naive empirical Mehler and Hermite expansions at increasing order,Became unstable at moderate order and worsened deep-layer errors.,Failed in naive form,CONTINUED_EXPERIMENT_REPORT.md,Closed,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M49,Synthetic width 256,Edgeworth component shrinkage,Term-wise shrinkage of noisy Edgeworth corrections,Improved error by only about 4%.,Too small,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M50,Synthetic structured sampling,Higher-moment estimation,"Use structured directions for centered M21, M22, and M31 estimates",Did not improve consistently; cancellation dominated the estimates.,No reliable gain,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M51,Official Mini records; 20 fit / 20 test,Output calibration,Fit a global quadratic/calibration direction on official records,Gained 2.2% in-sample but worsened the untouched records; held-out gain about 0.996x.,Does not generalize,CONTINUED_EXPERIMENT_REPORT.md,Scientific / recorded,Official-like,Control variates,Prior catalog
M52,Synthetic cross-width held-out learning,Learned bivariate correction,Universal extra-trees and histogram-gradient-boosting pair-residual models,Extra-trees pair R2 0.561 and next-sigma RMS 1.782%; HGB R2 0.746 and 1.699%; direct empirical covariance achieved 1.459%.,"Residual is learnable, but model loses downstream",CONTINUATION_REPORT.md,Scientific / recorded,Full-width holdout,Learned white-box models,Prior catalog
M53,Synthetic width 256; pilot-aware held-out learning,Learned bivariate correction,Allow model to see empirical pilot ReLU residual features,"Pair residual R2 reached 0.904 and next-sigma RMS 1.467%, still slightly worse than direct empirical covariance at 1.459%.",High pair accuracy still not operationally useful,CONTINUATION_REPORT.md,Scientific / recorded,Full-width holdout,Learned white-box models,Prior catalog
M54,Synthetic held-out tuning,Covariance blending,Blend empirical covariance with learned pair correction,Chosen beta was 0.05 for universal models and 0.575 for pilot-aware model; best apparent gain was below 0.03% relative and within uncertainty.,Closed for current models/features,CONTINUATION_REPORT.md,Closed,Full-width holdout,Moment/cumulant closure,Prior catalog
M55,Reduced-width full-rollout ablation,Recursive compatibility,Combine learned covariance and Edgeworth mean corrections separately and jointly,"Learned covariance reduced final sigma error about 25.3% -> 14.2%; each component helped with the other Gaussian, but applying both at full strength worsened final mean MSE.",Approximate mean and covariance states are mutually inconsistent,CONTINUATION_REPORT.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
M56,Synthetic sensitivity audit,Rare-switching follow-up,Measure modal-sign deviations and sensitivity-weighted switching,"Sensitivity-weighted switching remained around 30%, despite large median |mu/sigma| in deep layers.",Global rare-switch expansion closed,CONTINUATION_REPORT.md,Closed,Synthetic / mixed,Other,Prior catalog
M57,Synthetic larger-sample audit,Pruning follow-up,Validate neurons labeled always-on/off by a finite pilot,Some candidates had true switching probabilities around 0.4–0.46 under larger samples.,Pilot-only exact pruning unsafe,CONTINUATION_REPORT.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
M58,Analytic identity,Weight-scale homotopy,Scale every layer by positive global factors,Activation regions and standardized moments are unchanged; activations only receive deterministic scale powers.,Closed analytically,CONTINUATION_REPORT.md,Closed,Proof / analytic,Other,Prior catalog
M59,Synthetic pair-model follow-up,Pair distribution models,Naive Gaussian-mixture and Gaussian-copula pair estimators,Did not beat direct empirical pair moments at matched samples.,Closed in tested forms,CONTINUATION_REPORT.md,Closed,Synthetic / mixed,Other,Prior catalog
M60,Synthetic held-out learning,Direct quadratic-form correction,Models trained on next-layer variance corrections and analytic/empirical covariance shrinkage,Held-out models selected almost entirely empirical covariance and produced no material improvement.,Closed for current feature/model classes,CONTINUATION_REPORT.md,Closed,Full-width holdout,Control variates,Prior catalog
A01,Local full 31-layer forward,Arithmetic,Dense Kerdock propagation,~268.4B analytical FLOPs.,Reference implementation,PUBLIC_POST.md,Scientific / recorded,Synthetic / mixed,Suffix compilation & arithmetic,Prior catalog
A02,Local full 31-layer forward,Arithmetic,Three-level batched Strassen,~211.1B analytical FLOPs; projected local adjusted score ~1.79e-7.,Large counted-FLOP improvement,PUBLIC_POST.md,Scientific / recorded,Synthetic / mixed,Suffix compilation & arithmetic,Prior catalog
A03,Local analytical,Arithmetic,Three-level Winograd variant,~208.0B projected; projected score ~1.75e-7.,Slight theoretical improvement over Strassen,STRATEGY(1).md,Scientific / recorded,Proof / analytic,Suffix compilation & arithmetic,Prior catalog
A04,Official graded,Implementation,First Strassen submission,Timed out / failed all MLPs because implementation overhead exceeded guard.,Failed operationally,PUBLIC_POST.md,Closed,Official-like,Other,Prior catalog
A05,Local and official graded,Implementation,Replace einsum with fnp.matmul and improve batching,Matmul measured ~69x faster; local runtime 18.75s → 5.28s. Graded score 2.39e-7 because residual wall-clock erased projected benefit.,"Engineering improvement, score gain lost",PUBLIC_POST.md,Scientific / recorded,Official-like,Other,Prior catalog
A06,Local grader,Implementation,Assembly-free / persistent-layout Kerdock-Winograd kernel,"170.91B tracked, 175.52B effective, multiplier 0.6453, no failures; one-network adjusted result ~1.12e-7. Not validated over full official suite in supplied logs.",Strongest local compute result,Pasted text(7).txt; Pasted text(10).txt,Leading / active,Synthetic / mixed,Suffix compilation & arithmetic,Prior catalog
A07,Local,Implementation,Quadtree assembly-free transform,Reduced billed work by ~2.8%; persistent layout retained.,Small positive,Pasted text(7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
A08,Local,Matrix factorization,Five-coordinate rank-7 factorization,Reduced additions but wall-clock/materialization overhead was worse.,Rejected,Pasted text(7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
A09,Local,Matrix multiplication,Alternative-basis Strassen construction,"Algebraically worked, but finite-size arithmetic cost was worse than Winograd.",Rejected,Pasted text(7).txt,Scientific / recorded,Synthetic / mixed,Static/structured sampling,Prior catalog
A10,Local numerical validation,Bivariate Gaussian integral,"Drezner–Wesolowsky integral after r=sin(theta), 8-node quadrature",Matched Cho–Saul arc-cosine kernel to ~1.1e-16.,Successful numerical primitive,PUBLIC_POST.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
A11,Analytical FLOP proxy; grader validation pending,Moment-pilot budget sizing,"Complete Haar bases at 10, 11, 12, and 13 bases","5,120 points 7.880%; 5,632 8.668%; 6,144 9.456%; 6,656 10.244% of budget from sample-forward FLOPs alone. Excludes moment operations and residual wall time.","Start with 5,632; validate actual accounting",CONTINUATION_REPORT.md; RECOMMENDED_NEXT_ESTIMATOR.md,Scientific / recorded,Proof / analytic,Moment/cumulant closure,Prior catalog
T01,Numerical theory audit,Harmonic spectrum,Compose infinite-width ReLU dual kernel and expand in Gegenbauer harmonics,"At d=256/depth32, ~39.8% of nonconstant variance above degree 12; heavy tail robust.",Core theoretical model,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Theory & proof,Prior catalog
T02,Numerical theory audit,Kerdock frame potentials,Closed-form harmonic potentials from Kerdock/MUB inner products,Exact cancellation through degree 5; N·P6=2.062035; limiting-kernel MSE 2.43366e-7; gain 1.572x vs IID.,Successful / central result,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Theory & proof,Prior catalog
T03,Official-development validation,Parameter-free prediction,Predict Kerdock-vs-Sobol gain from spectrum and point geometry,Predicted 1.4972x; measured 1.4855x; 0.78% discrepancy. Absolute Kerdock prediction within ~5%.,Strong validation,PUBLIC_POST.md,Scientific / recorded,Official-like,Static/structured sampling,Prior catalog
T04,Numerical stability audit,Spectrum evaluation,Monomial-to-Gegenbauer recurrence and truncation convergence,"Harmonic reconstruction at truncation 4,096 agreed with direct kernel evaluation to 0.071%; avoided negative-variance cancellation.",Successful,PUBLIC_POST.md; Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T05,Analytic / numerical,Fixed-node weighting,Optimize weights over the 129 Kerdock bases and competing configurations,Uniform Kerdock/MUB weights remained optimal for fixed support/family; unequal basis weighting did not help.,Closed within tested family,PUBLIC_POST.md; Pasted text (7).txt,Closed,Proof / analytic,Static/structured sampling,Prior catalog
T06,Low-dimensional numerical search,Global geometry,d=4 MUB perturbations and random searches,"224,000 tangent perturbations, 4,000 random configurations, and 6,000 orthogonal-basis searches initially found nothing better; closest alternatives ≥11% worse.","Strong local evidence, later superseded globally",Pasted text (7).txt,Superseded,Synthetic / mixed,Other,Prior catalog
T07,Low-dimensional numerical search,Global geometry,"d=16, N=288 comparison",Median limiting-kernel MSE: MUB 5.3e-5; random orthogonal 6.4e-5; Sobol 7.1e-5; IID antipodal 8.2e-5; optimized random orthogonal still 21.7% worse.,Strong evidence for MUB,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T08,Finite-width analysis,Kernel approximation,First-order finite-width correction and direct finite-network tests,Correction helped shallow networks but sometimes failed badly at depth; finite-width effects were nonuniform.,Infinite-width model not exact at width 256,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T09,Numerical optimization bound,Kernel-energy lower bound,"Delsarte-style auxiliary polynomial at d=256/depth32/N=66,048",Kerdock 2.433660e-7 vs numerical lower bound 2.428983e-7: within ~0.192% of optimal among nonnegative-weight rules. Lacks interval-certified continuum proof. This first bound was later tightened to a 0.02337% maximum gap.,Superseded by T13 tightened certificate,Pasted text (7).txt; EXPERIMENT_REPORT_V3.md,Superseded,Synthetic / mixed,Theory & proof,Prior catalog
T10,Low-dimensional counterexample,Kernel-energy optimization,"Explicit d=4, 24-point configurations optimized against deep-ReLU kernel","Relative to MUB: 0.96353 at depth4, 0.99873 at depth16, 0.99983 at depth32; finite-width confirmation at widths 64/256 with paired z≈−5.0/−9.7.",Disproves exact global optimality from design exactness,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Theory & proof,Prior catalog
T11,Differential geometry audit,Local optimality,Complete Riemannian Hessian at d=4 MUB,Depths 1–64: exactly six rotational zero modes and all other eigenvalues positive; depth32 smallest nonrotational eigenvalue 1.96e-5.,Strict antipodal local minimum,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T12,Finite-width numerical audit,Resolve sub-percent target differences,"Coupled finite-width simulation, common randomness, Sobol QMC innovations, first-order 1/width corrections",Target difference remained too noisy; first-order correction unreliable at large depth.,Open / inconclusive,Pasted text (7).txt,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T13,Rigorous computer-assisted proof,Tight kernel-energy certificate,"KKT-tightened degree-5 Delsarte auxiliary polynomial at d=256, depth32, N=66,048","Final V5 package certifies 1 <= Kerdock/optimum <= 1.0002336550102949. Relative excess is therefore in [0, 0.02336550102949%] for the stated infinite-width, network-independent, nonnegative-weight estimator class.",Theorem complete within explicit scope; static positive-weight cubature is effectively closed.,"V5 proof package and clean-room audit, 2026-07-28",Theorem complete,Proof / analytic,Theory & proof,Latest multi-agent update
T14,High-precision dimension sweep,Kernel-energy certificate scaling,"Apply tightened auxiliary bound at d=4, d=16, and d=256","Maximum possible improvements over MUB: 0.8757%, 0.2764%, and 0.02337%, respectively.",Explains rapid high-dimensional near-optimality,EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Theory & proof,Prior catalog
T15,100-digit numerical certificate,Continuum inequality audit,Isolate and evaluate all stationary points of h(t)-K32(t),"Exactly five isolated stationary points, bracketed below 7e-61; largest upper value <= -1.00479e-13. Coefficient rounding remained safe.","Strong computer-assisted evidence, not formally directed-rounded",EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
T16,High-degree numerical dual audit,Auxiliary-LP optimality,"Check dual reduced costs for harmonic degrees 6 through 1,000,000",All were nonpositive; closest unused degree was 7 at -2.5050045e-7; high degrees approached -1/N.,Strong evidence degree-5 certificate is LP-optimal; analytic tail pending,EXPERIMENT_REPORT_V3.md,Open / pending,Synthetic / mixed,Theory & proof,Prior catalog
T17,Symbolic/numerical feasibility audit,Exact-contact certificate,Force a degree-5 auxiliary polynomial to touch Kerdock inner products -1 and ±1/16,"Nonnegative Gegenbauer coefficients require parameter >= 0.00069297, while pointwise lower-bound validity requires <= -0.02387692; intervals are incompatible.",Exact degree-5 Kerdock-contact proof impossible,EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Theory & proof,Prior catalog
T18,Explicit d=16 construction + adversarial optimization,Intermediate-dimensional MUB search,"Construct nine real MUBs / 288 antipodal nodes and optimize bases, lines, non-antipodal nodes, homotopies, and twists",Explicit and pair-count MSE agreed to 1.11e-16; uniform weights were optimal on support; broad searches found no better rule.,"Strong stress test, not global proof",EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T19,Low-dimensional signed-weight search,Signed-weight loophole,"10,000 random d=4 rules and 16 joint node/weight optimizations",255 random rules used negative weights; the best was at least 1.508x MUB. Joint optimizations converged to positive nearly uniform weights; best 0.0172% improvement used positive weights.,No practical signed-weight evidence; theorem loophole remains,EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
T20,Approximate finite-width theory,Finite-width CLT-state recursion,"Three-dimensional covariance-state propagation across widths 128–1,024","Estimated finite/infinite MSE multipliers: 1.196, 1.137, 1.123, 1.078, 1.065, 1.032; width256 16-scramble mean multiplier 1.12254.","Plausible 9–12% correction, not theorem",EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
T21,Finite-width direct validation,Finite-width kernel audit,"20,000-sample neuron Markov checks plus full d=4/d=16 network tests","CLT-state kernel predictions improved tested individual correlations, but on 1,000 d=4 networks infinite-width and first-order predictions were excellent while CLT-state was about 4% high; d=16 was too noisy.",Exact d=256 finite-width correction unresolved,EXPERIMENT_REPORT_V3.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
C38,Exact construction audit + 32 synthetic networks,Kerdock implementation,Independent finite-field construction of the complete dimension-256 real MUB/Kerdock rule,"Validated 128 alternating binary 8x8 matrices; every nonzero difference had GF(2) rank 8; 128 Hadamard bases plus the standard basis; cross-basis |inner product| exactly 1/16; 66,048 antipodal points.",Construction independently validated,EXPERIMENT_REPORT(2).md,Scientific / recorded,Synthetic / mixed,Static/structured sampling,Prior catalog
C39,32 architecture-matched synthetic networks,Partial Kerdock stopping,"Randomly stop after 8, 13, 32, or 64 complete Kerdock bases instead of all 129","Once the 0.1 multiplier floor was reached, the score proxy was nearly flat; none beat the complete rule reliably.",Closed; keep full rule,EXPERIMENT_REPORT(2).md,Closed,Synthetic / mixed,Static/structured sampling,Prior catalog
C40,Bidirectional held-out cross-validation,Kerdock aggregation,"Coordinate trimming, mean/median blends, early-layer deviation weighting, and standard-basis reweighting",Best median blend gained below 1%; aggressive aggregation failed out of sample.,Equal weighting remains default,EXPERIMENT_REPORT(2).md,Scientific / recorded,Full-width holdout,Static/structured sampling,Prior catalog
C41,Discovery plus untouched 16-network holdout,Adaptive basis selection,Early-layer greedy herding of Kerdock bases to match the full-design mean,A 48-basis layer-1 rule looked 12.7% better in discovery but was slightly worse on holdout; score-gain estimate 0.986x with wide interval.,Selection leakage; closed,EXPERIMENT_REPORT(2).md,Closed,Full-width holdout,Static/structured sampling,Prior catalog
C42,"16 synthetic networks, six complete rotations",Rotation selection,Choose among Kerdock rotations using exact layer-1 mean/covariance diagnostics,"Oracle best-of-six gap was 1.79x, but all cheap predictors had approximately zero Spearman correlation with final quality.",Real inaccessible oracle gap; no deployable selector,EXPERIMENT_REPORT(2).md,Scientific / recorded,Synthetic / mixed,Moment/cumulant closure,Prior catalog
C43,"Discovery, validation, and final 16-network holdout",Antipodal reduction,Evaluate one network-adaptively selected sign per Kerdock line,Looked 10–15% better initially; final holdout score gain was 0.883x and all-32 result 0.996x before selection overhead.,Rejected,EXPERIMENT_REPORT(2).md,Scientific / recorded,Full-width holdout,Static/structured sampling,Prior catalog
C44,"Prospective 16-network holdout at 4,096 directions",Small-budget hybrid sampling,Blend a small structured sampler with a corrected Gaussian analytic anchor,Fixed blend improved MSE from 6.17e-6 to 4.81e-6 (28.2%); target-free split-noise blend improved about 16.6%.,Useful only for cheap/partial estimators; too costly atop full Kerdock,EXPERIMENT_REPORT(2).md,Scientific / recorded,Full-width holdout,Static/structured sampling,Prior catalog
C45,Kernel audit and holdout analysis,Rotated Kerdock augmentation,"Reassess 90,624-row and 78,336-row rotated-basis pilots using ensemble kernel error-cost","Predicted error-cost ratios were 1.229 and 1.091; single additions, swaps, and convex reweighting did not improve.",Rotated-pilot branch rejected,arc_experiment_report.md,Scientific / recorded,Full-width holdout,Static/structured sampling,Prior catalog
C46,8-network development + 8-network strict holdout,Intermediate particle thinning,Morton-group actual-particle thinning after layer 24 with positive reweighting to match 128 prefix features,Development projected 0.873x score; strict holdout reversed to 1.069x. Weights stayed positive and well conditioned.,Selector failed; real-particle recombination remains mechanistically informative,arc_experiment_report.md,Closed,Full-width holdout,Particle compression,Prior catalog
C47,Five full-width synthetic networks,Network-adaptive anchor coreset,"Propagate full Kerdock to layer 28, retain 8,192 rows, and reweight to match anchor means","Reduced compression error roughly 40–170x versus ordinary subset thinning; cost ratio 0.8983, but added MSE 1.15e-7 versus break-even 2.26e-8.","Real effect, still 5.1x short of score break-even",ARC_NEW_PATHS_REPORT_20260728.md,Scientific / recorded,Full-width holdout,Particle compression,Prior catalog
C48,Full-width synthetic screening,Kink-aware coreset,Add 64 first-tail kink-neuron activation features to anchor-mean coreset weighting,"Improved over mean-only weighting while retaining stable near-uniform weights, but remained far above break-even error.",Only coreset refinement worth bounded follow-up,ARC_NEW_PATHS_REPORT_20260728.md,Scientific / recorded,Full-width holdout,Particle compression,Prior catalog
C49,Full-size synthetic,Particle compression,Tangent/JVP grouping of nearby particles through a shared suffix linearization,"Produced approximately 9,000–16,000x worse error-cost.",Catastrophic; closed,arc_experiment_report_round2.md,Closed,Synthetic / mixed,Particle compression,Prior catalog
C50,Full-size synthetic,Kernel particle thinning,Remaining-depth ReLU-kernel Nyström representation and thinning,Suffix-kernel effective rank collapsed to about 1.001 and did not support accurate nonlinear tail compression.,Closed in tested form,arc_experiment_report_round2.md,Closed,Synthetic / mixed,Particle compression,Prior catalog
C51,Development plus frozen seeds,Balanced thinning,Vector-balanced actual-particle thinning,Strong single-network cancellation reversed on frozen networks.,Failed holdout,arc_experiment_report_round2.md,Closed,Synthetic / mixed,Particle compression,Prior catalog
C52,Full-size synthetic,Tail pilot design,Extreme-enriched pilot for detecting rare final-layer switching,Safe but detected too many low-impact events and spent more compute than it saved.,Inferior; closed,arc_experiment_report_round2.md,Closed,Synthetic / mixed,Other,Prior catalog
C53,Full-size synthetic,Tiered suffix sampling,"Three-tier sampled-tail estimator for stable, borderline, and switching outputs",Genuinely switching outputs still required exact propagation; no score gain.,Closed,arc_experiment_report_round2.md,Closed,Synthetic / mixed,Suffix compilation & arithmetic,Prior catalog
V22,"Two independent width-256 batches, 8 networks",Exact-mean layer-1 control,Low-rank final-output PCA/ridge control using exact fixed-radius mean of layer-1 activations,"With 2,048 fitting trajectories, gross gain 1.2302x and net gain 1.1920x; 8/8 networks improved.",Strong synthetic candidate; official/Kerdock validation required,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Full-width holdout,Control variates,Prior catalog
V23,Matched width-256 training-size sweep,Exact-mean layer-1 control,"Vary fitting trajectories from 512 to 4,096 and control rank/ridge","Best matched net gain was 1.2329x at 2,048 trajectories; 4,096 improved gross fit but lost more production directions.","2,048 was best reserved-sample point in tested sweep",EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Full-width holdout,Control variates,Prior catalog
V24,Eight width-256 networks,Soft-Jacobian control,Training-free expected-gate Jacobian from layer 1 to final layer with universal scale 1.25,8/8 improved; mean gross gain 1.1978x. Pilot-estimated-gate deployable version projected roughly 1.14–1.16x net.,"Robust mechanistic control, weaker than fitted low-rank control",EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Full-width holdout,Control variates,Prior catalog
V25,Large-point width-64 validation; width-256 unresolved,Cross-fitted layer-1 control,Four-fold antipodal-pair-preserving cross-fitting without discarding production directions,Mean MSE improvement 1.244x at width 64; width-256 fold mode instability remained unresolved.,Promising but not target-scale validated,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Full-width holdout,Control variates,Prior catalog
V26,Synthetic width 256,Layer-1 nonlinear controls,Add exact quadratic cross-products of dominant layer-1 covariance modes,Gain changed only from about 1.206x to 1.207x.,Negligible; closed,EXPERIMENT_SUMMARY_V2.md,Closed,Synthetic / mixed,Control variates,Prior catalog
V27,Synthetic width 256,Pair-specific exact-mean controls,Regress antipodal pair averages on centered powers |h1| through degree 4,Reached only about 1.125x net.,Inferior to basic low-rank layer-1 control,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V28,Synthetic width 256,Deeper multifidelity controls,Estimate layer-2/4/8 surrogate means with many shallow trajectories,Best deeper result roughly 1.087x net versus about 1.202x for exact layer 1.,Deeper surrogate means cost more than they save,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V29,Synthetic width 256,Nonlinear random-feature controls,"ReLU, tanh, and cosine shallow features with sampled feature means",Best net gain only 1.029x.,Closed,EXPERIMENT_SUMMARY_V2.md,Closed,Synthetic / mixed,Control variates,Prior catalog
V30,Synthetic width 256,Output-mode selection,Choose regression modes by predictable variance instead of final-output PCA,Best net result about 1.135x; ordinary dominant output modes were better.,Alternative mode objective rejected,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Synthetic / mixed,Other,Prior catalog
V31,Synthetic width 256,Composite controls,Combine empirical Jacobian control with a learned residual,"Best matched result about 1.169x net, below strongest exact-mean layer-1 control.",Small composition gain only,EXPERIMENT_SUMMARY_V2.md,Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V32,Synthetic width 256,Pathwise Jacobian control,Rank-2 average true pathwise backpropagated Jacobian using 512 pilot directions,"Approximately 1.24x gross and 1.21x net, outperforming a larger ridge-control pilot.",Promising derivative-enhanced control,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V33,Six fresh width-256 networks,Pathwise Jacobian validation,Frozen average-Jacobian control on independent networks,About 1.25x gross and 1.23x net; 6/6 networks improved.,Replicated on fresh synthetic networks,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Full-width holdout,Control variates,Prior catalog
V34,Cross-validated synthetic,Jacobian residual fitting,Fit a small residual correction around the mechanistic pathwise-Jacobian prior,With 128 pilot pairs the correction collapsed back to the prior.,Residual not learnable at tested pilot size,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V35,Synthetic width 256,Exact-mean nonlinear controls,Random one-hidden-layer ReLU features on original input with analytic Gaussian means,Diluted the useful layer-1 basis and reduced performance.,Failed,"User-provided AI run summary, 2026-07-28",Closed,Synthetic / mixed,Control variates,Prior catalog
V36,Synthetic width 256,Gradient-direction controls,Use network-local input-gradient directions as exact-mean |u^T x| ridge features,Local kink directions did not form a useful shallow dictionary.,Failed,"User-provided AI run summary, 2026-07-28",Closed,Synthetic / mixed,Control variates,Prior catalog
V37,Synthetic width 256,Intermediate path-gradient multifidelity,Attach pathwise derivative controls at multiple intermediate depths and estimate their shallow means,Deeper controls explained more variance but mean-estimation cost exceeded savings.,Closed,"User-provided AI run summary, 2026-07-28",Closed,Synthetic / mixed,Control variates,Prior catalog
V38,Oracle mode diagnostic,Pathwise Jacobian mode selection,Replace pilot PCA output modes with oracle output modes,Improved the control by less than 0.2%.,Pilot PCA is not the bottleneck,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Oracle / diagnostic,Control variates,Prior catalog
V39,Synthetic paired comparison,Jacobian pilot design,Estimate average Jacobian with scrambled Sobol-antipodal rather than random pilot directions,No material improvement.,Pilot QMC does not solve Jacobian noise,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
V40,Synthetic width 256,Pair-selected Jacobian control,Use the branch-selected derivative identity for q=|h1|/2 instead of averaging antipodal path gradients,Best net gain increased from about 1.226x to 1.249x.,Strongest pathwise control mechanism,"User-provided AI run summary, 2026-07-28",Leading / active,Synthetic / mixed,Control variates,Prior catalog
V41,Synthetic pilot-size sweep,Pair-selected Jacobian control,Vary pair-selected Jacobian pilot from 256 to 512 directions,Optimum was flat; 256 directions preserved more production compute.,Freeze 256-pilot setting for transfer test,"User-provided AI run summary, 2026-07-28",Scientific / recorded,Synthetic / mixed,Control variates,Prior catalog
