ID,Evidence level,Family,Experiment,Result,Verdict,Primary source
A06,Local grader,Implementation,Assembly-free / persistent-layout Kerdock-Winograd kernel,"170.91B tracked, 175.52B effective, multiplier 0.6453, no failures; one-network adjusted result ~1.12e-7. Not validated over full official suite in supplied logs.",Strongest local compute result,Pasted text(7).txt; Pasted text(10).txt
A07,Local,Implementation,Quadtree assembly-free transform,Reduced billed work by ~2.8%; persistent layout retained.,Small positive,Pasted text(7).txt
A08,Local,Matrix factorization,Five-coordinate rank-7 factorization,Reduced additions but wall-clock/materialization overhead was worse.,Rejected,Pasted text(7).txt
A09,Local,Matrix multiplication,Alternative-basis Strassen construction,"Algebraically worked, but finite-size arithmetic cost was worse than Winograd.",Rejected,Pasted text(7).txt
A10,Local numerical validation,Bivariate Gaussian integral,"Drezner–Wesolowsky integral after r=sin(theta), 8-node quadrature",Matched Cho–Saul arc-cosine kernel to ~1.1e-16.,Successful numerical primitive,PUBLIC_POST.md
A11,Analytical FLOP proxy; grader validation pending,Moment-pilot budget sizing,"Complete Haar bases at 10, 11, 12, and 13 bases","5,120 points 7.880%; 5,632 8.668%; 6,144 9.456%; 6,656 10.244% of budget from sample-forward FLOPs alone. Excludes moment operations and residual wall time.","Start with 5,632; validate actual accounting",CONTINUATION_REPORT.md; RECOMMENDED_NEXT_ESTIMATOR.md
T01,Numerical theory audit,Harmonic spectrum,Compose infinite-width ReLU dual kernel and expand in Gegenbauer harmonics,"At d=256/depth32, ~39.8% of nonconstant variance above degree 12; heavy tail robust.",Core theoretical model,Pasted text (7).txt
T02,Numerical theory audit,Kerdock frame potentials,Closed-form harmonic potentials from Kerdock/MUB inner products,Exact cancellation through degree 5; N·P6=2.062035; limiting-kernel MSE 2.43366e-7; gain 1.572x vs IID.,Successful / central result,Pasted text (7).txt
T03,Official-development validation,Parameter-free prediction,Predict Kerdock-vs-Sobol gain from spectrum and point geometry,Predicted 1.4972x; measured 1.4855x; 0.78% discrepancy. Absolute Kerdock prediction within ~5%.,Strong validation,PUBLIC_POST.md
T04,Numerical stability audit,Spectrum evaluation,Monomial-to-Gegenbauer recurrence and truncation convergence,"Harmonic reconstruction at truncation 4,096 agreed with direct kernel evaluation to 0.071%; avoided negative-variance cancellation.",Successful,PUBLIC_POST.md; Pasted text (7).txt
T05,Analytic / numerical,Fixed-node weighting,Optimize weights over the 129 Kerdock bases and competing configurations,Uniform Kerdock/MUB weights remained optimal for fixed support/family; unequal basis weighting did not help.,Closed within tested family,PUBLIC_POST.md; Pasted text (7).txt
T06,Low-dimensional numerical search,Global geometry,d=4 MUB perturbations and random searches,"224,000 tangent perturbations, 4,000 random configurations, and 6,000 orthogonal-basis searches initially found nothing better; closest alternatives ≥11% worse.","Strong local evidence, later superseded globally",Pasted text (7).txt
T07,Low-dimensional numerical search,Global geometry,"d=16, N=288 comparison",Median limiting-kernel MSE: MUB 5.3e-5; random orthogonal 6.4e-5; Sobol 7.1e-5; IID antipodal 8.2e-5; optimized random orthogonal still 21.7% worse.,Strong evidence for MUB,Pasted text (7).txt
T08,Finite-width analysis,Kernel approximation,First-order finite-width correction and direct finite-network tests,Correction helped shallow networks but sometimes failed badly at depth; finite-width effects were nonuniform.,Infinite-width model not exact at width 256,Pasted text (7).txt
T09,Numerical optimization bound,Kernel-energy lower bound,"Delsarte-style auxiliary polynomial at d=256/depth32/N=66,048",Kerdock 2.433660e-7 vs numerical lower bound 2.428983e-7: within ~0.192% of optimal among nonnegative-weight rules. Lacks interval-certified continuum proof. This first bound was later tightened to a 0.02337% maximum gap.,Superseded by T13 tightened certificate,Pasted text (7).txt; EXPERIMENT_REPORT_V3.md
T10,Low-dimensional counterexample,Kernel-energy optimization,"Explicit d=4, 24-point configurations optimized against deep-ReLU kernel","Relative to MUB: 0.96353 at depth4, 0.99873 at depth16, 0.99983 at depth32; finite-width confirmation at widths 64/256 with paired z≈−5.0/−9.7.",Disproves exact global optimality from design exactness,Pasted text (7).txt
T11,Differential geometry audit,Local optimality,Complete Riemannian Hessian at d=4 MUB,Depths 1–64: exactly six rotational zero modes and all other eigenvalues positive; depth32 smallest nonrotational eigenvalue 1.96e-5.,Strict antipodal local minimum,Pasted text (7).txt
T12,Finite-width numerical audit,Resolve sub-percent target differences,"Coupled finite-width simulation, common randomness, Sobol QMC innovations, first-order 1/width corrections",Target difference remained too noisy; first-order correction unreliable at large depth.,Open / inconclusive,Pasted text (7).txt
T13,High-precision computer-assisted lower bound,Tight kernel-energy certificate,"KKT-tightened degree-5 Delsarte auxiliary polynomial at d=256, depth32, N=66,048",Kerdock MSE 2.4336603555e-7; certified-form auxiliary lower bound 2.4330918535e-7; maximum possible improvement 0.02337%.,Superseded by T22: V5 completed the directed-rounding computer-assisted proof,EXPERIMENT_REPORT_V3.md
T14,High-precision dimension sweep,Kernel-energy certificate scaling,"Apply tightened auxiliary bound at d=4, d=16, and d=256","Maximum possible improvements over MUB: 0.8757%, 0.2764%, and 0.02337%, respectively.",Explains rapid high-dimensional near-optimality,EXPERIMENT_REPORT_V3.md
T15,100-digit numerical certificate,Continuum inequality audit,Isolate and evaluate all stationary points of h(t)-K32(t),"Exactly five isolated stationary points, bracketed below 7e-61; largest upper value <= -1.00479e-13. Coefficient rounding remained safe.","Strong computer-assisted evidence, not formally directed-rounded",EXPERIMENT_REPORT_V3.md
T16,High-degree numerical dual audit,Auxiliary-LP optimality,"Check dual reduced costs for harmonic degrees 6 through 1,000,000",All were nonpositive; closest unused degree was 7 at -2.5050045e-7; high degrees approached -1/N.,Strong evidence degree-5 certificate is LP-optimal; analytic tail pending,EXPERIMENT_REPORT_V3.md
T17,Symbolic/numerical feasibility audit,Exact-contact certificate,Force a degree-5 auxiliary polynomial to touch Kerdock inner products -1 and ±1/16,"Nonnegative Gegenbauer coefficients require parameter >= 0.00069297, while pointwise lower-bound validity requires <= -0.02387692; intervals are incompatible.",Exact degree-5 Kerdock-contact proof impossible,EXPERIMENT_REPORT_V3.md
T18,Explicit d=16 construction + adversarial optimization,Intermediate-dimensional MUB search,"Construct nine real MUBs / 288 antipodal nodes and optimize bases, lines, non-antipodal nodes, homotopies, and twists",Explicit and pair-count MSE agreed to 1.11e-16; uniform weights were optimal on support; broad searches found no better rule.,"Strong stress test, not global proof",EXPERIMENT_REPORT_V3.md
T19,Low-dimensional signed-weight search,Signed-weight loophole,"10,000 random d=4 rules and 16 joint node/weight optimizations",255 random rules used negative weights; the best was at least 1.508x MUB. Joint optimizations converged to positive nearly uniform weights; best 0.0172% improvement used positive weights.,No practical signed-weight evidence; theorem loophole remains,EXPERIMENT_REPORT_V3.md
T20,Approximate finite-width theory,Finite-width CLT-state recursion,"Three-dimensional covariance-state propagation across widths 128–1,024","Estimated finite/infinite MSE multipliers: 1.196, 1.137, 1.123, 1.078, 1.065, 1.032; width256 16-scramble mean multiplier 1.12254.","Plausible 9–12% correction, not theorem",EXPERIMENT_REPORT_V3.md
T21,Finite-width direct validation,Finite-width kernel audit,"20,000-sample neuron Markov checks plus full d=4/d=16 network tests","CLT-state kernel predictions improved tested individual correlations, but on 1,000 d=4 networks infinite-width and first-order predictions were excellent while CLT-state was about 4% high; d=16 was too noisy.",Exact d=256 finite-width correction unresolved,EXPERIMENT_REPORT_V3.md
C38,Exact construction audit + 32 synthetic networks,Kerdock implementation,Independent finite-field construction of the complete dimension-256 real MUB/Kerdock rule,"Validated 128 alternating binary 8x8 matrices; every nonzero difference had GF(2) rank 8; 128 Hadamard bases plus the standard basis; cross-basis |inner product| exactly 1/16; 66,048 antipodal points.",Construction independently validated,EXPERIMENT_REPORT(2).md
C39,32 architecture-matched synthetic networks,Partial Kerdock stopping,"Randomly stop after 8, 13, 32, or 64 complete Kerdock bases instead of all 129","Once the 0.1 multiplier floor was reached, the score proxy was nearly flat; none beat the complete rule reliably.",Closed; keep full rule,EXPERIMENT_REPORT(2).md
C40,Bidirectional held-out cross-validation,Kerdock aggregation,"Coordinate trimming, mean/median blends, early-layer deviation weighting, and standard-basis reweighting",Best median blend gained below 1%; aggressive aggregation failed out of sample.,Equal weighting remains default,EXPERIMENT_REPORT(2).md
C41,Discovery plus untouched 16-network holdout,Adaptive basis selection,Early-layer greedy herding of Kerdock bases to match the full-design mean,A 48-basis layer-1 rule looked 12.7% better in discovery but was slightly worse on holdout; score-gain estimate 0.986x with wide interval.,Selection leakage; closed,EXPERIMENT_REPORT(2).md
C42,"16 synthetic networks, six complete rotations",Rotation selection,Choose among Kerdock rotations using exact layer-1 mean/covariance diagnostics,"Oracle best-of-six gap was 1.79x, but all cheap predictors had approximately zero Spearman correlation with final quality.",Real inaccessible oracle gap; no deployable selector,EXPERIMENT_REPORT(2).md
C43,"Discovery, validation, and final 16-network holdout",Antipodal reduction,Evaluate one network-adaptively selected sign per Kerdock line,Looked 10–15% better initially; final holdout score gain was 0.883x and all-32 result 0.996x before selection overhead.,Rejected,EXPERIMENT_REPORT(2).md
C44,"Prospective 16-network holdout at 4,096 directions",Small-budget hybrid sampling,Blend a small structured sampler with a corrected Gaussian analytic anchor,Fixed blend improved MSE from 6.17e-6 to 4.81e-6 (28.2%); target-free split-noise blend improved about 16.6%.,Useful only for cheap/partial estimators; too costly atop full Kerdock,EXPERIMENT_REPORT(2).md
C45,Kernel audit and holdout analysis,Rotated Kerdock augmentation,"Reassess 90,624-row and 78,336-row rotated-basis pilots using ensemble kernel error-cost","Predicted error-cost ratios were 1.229 and 1.091; single additions, swaps, and convex reweighting did not improve.",Rotated-pilot branch rejected,arc_experiment_report.md
C46,8-network development + 8-network strict holdout,Intermediate particle thinning,Morton-group actual-particle thinning after layer 24 with positive reweighting to match 128 prefix features,Development projected 0.873x score; strict holdout reversed to 1.069x. Weights stayed positive and well conditioned.,Selector failed; real-particle recombination remains mechanistically informative,arc_experiment_report.md
C47,Five full-width synthetic networks,Network-adaptive anchor coreset,"Propagate full Kerdock to layer 28, retain 8,192 rows, and reweight to match anchor means","Reduced compression error roughly 40–170x versus ordinary subset thinning; cost ratio 0.8983, but added MSE 1.15e-7 versus break-even 2.26e-8.","Real effect, still 5.1x short of score break-even",ARC_NEW_PATHS_REPORT_20260728.md
C48,Full-width synthetic screening,Kink-aware coreset,Add 64 first-tail kink-neuron activation features to anchor-mean coreset weighting,"Improved over mean-only weighting while retaining stable near-uniform weights, but remained far above break-even error.",Only coreset refinement worth bounded follow-up,ARC_NEW_PATHS_REPORT_20260728.md
C49,Full-size synthetic,Particle compression,Tangent/JVP grouping of nearby particles through a shared suffix linearization,"Produced approximately 9,000–16,000x worse error-cost.",Catastrophic; closed,arc_experiment_report_round2.md
C50,Full-size synthetic,Kernel particle thinning,Remaining-depth ReLU-kernel Nyström representation and thinning,Suffix-kernel effective rank collapsed to about 1.001 and did not support accurate nonlinear tail compression.,Closed in tested form,arc_experiment_report_round2.md
C51,Development plus frozen seeds,Balanced thinning,Vector-balanced actual-particle thinning,Strong single-network cancellation reversed on frozen networks.,Failed holdout,arc_experiment_report_round2.md
C52,Full-size synthetic,Tail pilot design,Extreme-enriched pilot for detecting rare final-layer switching,Safe but detected too many low-impact events and spent more compute than it saved.,Inferior; closed,arc_experiment_report_round2.md
C53,Full-size synthetic,Tiered suffix sampling,"Three-tier sampled-tail estimator for stable, borderline, and switching outputs",Genuinely switching outputs still required exact propagation; no score gain.,Closed,arc_experiment_report_round2.md
V22,"Two independent width-256 batches, 8 networks",Exact-mean layer-1 control,Low-rank final-output PCA/ridge control using exact fixed-radius mean of layer-1 activations,"With 2,048 fitting trajectories, gross gain 1.2302x and net gain 1.1920x; 8/8 networks improved.",Strong synthetic candidate; official/Kerdock validation required,EXPERIMENT_SUMMARY_V2.md
V23,Matched width-256 training-size sweep,Exact-mean layer-1 control,"Vary fitting trajectories from 512 to 4,096 and control rank/ridge","Best matched net gain was 1.2329x at 2,048 trajectories; 4,096 improved gross fit but lost more production directions.","2,048 was best reserved-sample point in tested sweep",EXPERIMENT_SUMMARY_V2.md
V24,Eight width-256 networks,Soft-Jacobian control,Training-free expected-gate Jacobian from layer 1 to final layer with universal scale 1.25,8/8 improved; mean gross gain 1.1978x. Pilot-estimated-gate deployable version projected roughly 1.14–1.16x net.,"Robust mechanistic control, weaker than fitted low-rank control",EXPERIMENT_SUMMARY_V2.md
V25,Large-point width-64 validation; width-256 unresolved,Cross-fitted layer-1 control,Four-fold antipodal-pair-preserving cross-fitting without discarding production directions,Mean MSE improvement 1.244x at width 64; width-256 fold mode instability remained unresolved.,Promising but not target-scale validated,EXPERIMENT_SUMMARY_V2.md
V26,Synthetic width 256,Layer-1 nonlinear controls,Add exact quadratic cross-products of dominant layer-1 covariance modes,Gain changed only from about 1.206x to 1.207x.,Negligible; closed,EXPERIMENT_SUMMARY_V2.md
V27,Synthetic width 256,Pair-specific exact-mean controls,Regress antipodal pair averages on centered powers |h1| through degree 4,Reached only about 1.125x net.,Inferior to basic low-rank layer-1 control,EXPERIMENT_SUMMARY_V2.md
V28,Synthetic width 256,Deeper multifidelity controls,Estimate layer-2/4/8 surrogate means with many shallow trajectories,Best deeper result roughly 1.087x net versus about 1.202x for exact layer 1.,Deeper surrogate means cost more than they save,EXPERIMENT_SUMMARY_V2.md
V29,Synthetic width 256,Nonlinear random-feature controls,"ReLU, tanh, and cosine shallow features with sampled feature means",Best net gain only 1.029x.,Closed,EXPERIMENT_SUMMARY_V2.md
V30,Synthetic width 256,Output-mode selection,Choose regression modes by predictable variance instead of final-output PCA,Best net result about 1.135x; ordinary dominant output modes were better.,Alternative mode objective rejected,EXPERIMENT_SUMMARY_V2.md
V31,Synthetic width 256,Composite controls,Combine empirical Jacobian control with a learned residual,"Best matched result about 1.169x net, below strongest exact-mean layer-1 control.",Small composition gain only,EXPERIMENT_SUMMARY_V2.md
V32,Synthetic width 256,Pathwise Jacobian control,Rank-2 average true pathwise backpropagated Jacobian using 512 pilot directions,"Approximately 1.24x gross and 1.21x net, outperforming a larger ridge-control pilot.",Promising derivative-enhanced control,"User-provided AI run summary, 2026-07-28"
V33,Six fresh width-256 networks,Pathwise Jacobian validation,Frozen average-Jacobian control on independent networks,About 1.25x gross and 1.23x net; 6/6 networks improved.,Replicated on fresh synthetic networks,"User-provided AI run summary, 2026-07-28"
V34,Cross-validated synthetic,Jacobian residual fitting,Fit a small residual correction around the mechanistic pathwise-Jacobian prior,With 128 pilot pairs the correction collapsed back to the prior.,Residual not learnable at tested pilot size,"User-provided AI run summary, 2026-07-28"
V35,Synthetic width 256,Exact-mean nonlinear controls,Random one-hidden-layer ReLU features on original input with analytic Gaussian means,Diluted the useful layer-1 basis and reduced performance.,Failed,"User-provided AI run summary, 2026-07-28"
V36,Synthetic width 256,Gradient-direction controls,Use network-local input-gradient directions as exact-mean |u^T x| ridge features,Local kink directions did not form a useful shallow dictionary.,Failed,"User-provided AI run summary, 2026-07-28"
V37,Synthetic width 256,Intermediate path-gradient multifidelity,Attach pathwise derivative controls at multiple intermediate depths and estimate their shallow means,Deeper controls explained more variance but mean-estimation cost exceeded savings.,Closed,"User-provided AI run summary, 2026-07-28"
V38,Oracle mode diagnostic,Pathwise Jacobian mode selection,Replace pilot PCA output modes with oracle output modes,Improved the control by less than 0.2%.,Pilot PCA is not the bottleneck,"User-provided AI run summary, 2026-07-28"
V39,Synthetic paired comparison,Jacobian pilot design,Estimate average Jacobian with scrambled Sobol-antipodal rather than random pilot directions,No material improvement.,Pilot QMC does not solve Jacobian noise,"User-provided AI run summary, 2026-07-28"
V40,Synthetic width 256,Pair-selected Jacobian control,Use the branch-selected derivative identity for q=|h1|/2 instead of averaging antipodal path gradients,Best net gain increased from about 1.226x to 1.249x.,Strongest pathwise control mechanism,"User-provided AI run summary, 2026-07-28"
V41,Synthetic pilot-size sweep,Pair-selected Jacobian control,Vary pair-selected Jacobian pilot from 256 to 512 directions,Optimum was flat; 256 directions preserved more production compute.,Freeze 256-pilot setting for transfer test,"User-provided AI run summary, 2026-07-28"
V42,Synthetic width 256,Stein control variate,Half-normal Stein-kernel weighting of pair-selected path derivatives,"Small consistent improvement, raising best net gain to about 1.252x.",Mechanistically supported incremental gain,"User-provided AI run summary, 2026-07-28"
V43,Synthetic width 256,Sphere Stein control,Replace Gaussian half-normal Stein kernel with exact fixed-radius beta-density sphere kernel,Numerically indistinguishable at dimension 256.,Confirms large-dimension mechanism; no extra gain,"User-provided AI run summary, 2026-07-28"
V44,Synthetic width 256,Multivariate Stein control,Multiply Stein-weighted derivative by inverse exact covariance of absolute layer-1 features,"Added a small gain, reaching about 1.2525x net on tuning networks.",Best tuned pathwise variant,"User-provided AI run summary, 2026-07-28"
V45,Eight completely new width-256 networks,Frozen Stein validation,"Rank-2, 256-pilot, 50% multivariate-Stein pathwise estimator with frozen settings",Validated at 1.243x net with 8/8 wins.,"Superseded by V59: strong on antithetic samples, but complete-Kerdock transfer failed the continuation gate","User-provided AI run summary, 2026-07-28"
V46,Synthetic cross-validation,Nonlinear pathwise controls,Centered powers of half-normal layer-1 magnitudes along selected derivative modes,Improved only about 0.15%.,Marginal,"User-provided AI run summary, 2026-07-28"
V47,Synthetic tuning batch,Gradient-curvature control,Coordinatewise derivative-versus-magnitude curvature term centered analytically,Raised tuned net gain to about 1.2565x.,Small tuning improvement,"User-provided AI run summary, 2026-07-28"
V48,Synthetic width 256,Low-rank curvature control,Fit full cross-coordinate gradient-versus-magnitude Jacobian and compress to rank 1–8,Failed to beat the simpler diagonal term.,Dense cross-coordinate curvature closed,"User-provided AI run summary, 2026-07-28"
V49,Eight completely new width-256 networks,Diagonal curvature validation,Frozen diagonal gradient-curvature correction,"Validated around 1.243x net with 8/8 wins, nearly identical to frozen Stein estimator.",Optional; no demonstrated gain over simpler Stein form,"User-provided AI run summary, 2026-07-28"
V50,Synthetic cross-validation,Higher-order homogeneity controls,Cubic and higher centered derivative-power expansion,Higher powers reduced generalization; only first curvature term survived.,Closed beyond first curvature term,"User-provided AI run summary, 2026-07-28"
V51,Width-64 discovery then full width-256 falsification,Affine suffix residual,Analytically average a fitted affine tail and sample only its nonlinear residual,Width-64 suggested 1.22x; at width 256 the tail-8 hybrid was about 7x worse and tail lengths 1–4 remained negative.,Scale-dependent false positive; closed,ARC_NEW_PATHS_REPORT_20260728.md
V52,Full-width Kerdock screening,Final-layer Rao–Blackwell control,Exact full-cloud final preactivation mean plus subset ReLU and linear Hermite correction,"At 8,192 rows, additional MSE 3.24–4.60e-8 versus break-even 5.63e-9; only 2.74% compute saved.","Real variance reduction, 6–8x too noisy for score",ARC_NEW_PATHS_REPORT_20260728.md
V53,Full-width Kerdock screening,Final-layer Edgeworth control,Use pilot variance/skew/kurtosis and third/fourth/sixth-order marginal corrections,"Best Edgeworth additional MSE 5.56e-8, worse than linear CV 3.24e-8 at every pilot size.",Closed,ARC_NEW_PATHS_REPORT_20260728.md
V54,Full-width screening,Kink-feature ridge control,Predict tail outputs from anchor PCA plus 16–128 selected kink activations and sample a residual,Best added MSE 2.03e-7 versus break-even 1.88e-8.,Closed,ARC_NEW_PATHS_REPORT_20260728.md
V55,Six width-256 development networks,Safe structure-aware multifidelity,Large Kerdock surrogate stream with dead/on/kink simplification plus small exact residual stream,"Best projected adjusted gain 1.0632x, CI [1.0449,1.0701], 6/6 wins, but nearly all from idealized sparse arithmetic.",Missed predeclared 1.15–1.20x gate; closed,PRIORITY_EXPERIMENTS_REPORT.md
V56,Full-size frozen synthetic,Multilevel suffix control,Linear multilevel prefix/suffix estimator,Aggregate score ratio 1.248x with network range 0.62x–1.77x.,Worse and unstable,arc_experiment_report_round2.md
V57,Full-size frozen synthetic,Multilevel suffix control,Nonlinear multilevel prefix/suffix estimator,Aggregate score ratio 1.105x with a 4.30x outlier.,Worse; closed,arc_experiment_report_round2.md
V58,Full-size synthetic,Low-rank final-layer control,Rank-32 final-layer low-rank control,Remained about 1.31x worse.,Catastrophic; closed,arc_experiment_report_round2.md
M61,"Target-width synthetic, three networks",Dead/on/kink analytic rollout,Pilot-classify stable gates inside recursive Gaussian moment propagation,Strict correction improved Gaussian rollout by only 1.9%; absolute final MSE remained about 1.3e-4.,Stable but hundreds of times too inaccurate,ARC_NEW_PATHS_REPORT_20260728.md
M62,Held-out reduced width/depth free rollout,Rollout-aware PSD closure,"Permutation-equivariant, bounded, PSD-preserving learned closure trained through full rollout",State-only model improved final MSE 3.36x at width24/depth12 and 4.29x transferring to width32/depth16.,Strong small-regime fit,PRIORITY_EXPERIMENTS_REPORT.md
M63,Depth-32 target training plus width transfer,Rollout-aware PSD closure,Fine-tune through width32/depth32 rollout and transfer to width64/depth32,10.40x improvement at training width but 0.75x at width64; oracle local moments did not fix transfer.,Width-specific model class closed,PRIORITY_EXPERIMENTS_REPORT.md
M64,Held-out width-256 synthetic,Transported-cumulant learned closure,Feature ablation for symmetric x1 and antisymmetric x1a transported k21 slices,Marginals only 0.81x; x1 1.71x; x1a 1.47x; x1+x1a 3.58x next-variance gain.,Real localized mechanistic signal,BOUNDED_ML_REPORT.md
M65,Fresh width-256 model-size sweep,Transported-cumulant learned closure,Small coefficient network widths 8–96 using x1/x1a,64-unit model achieved 2.20x gain at about 9.2B inference FLOPs; 96-unit 2.33x at about 20B.,64-unit best tested compute/accuracy compromise,BOUNDED_ML_REPORT.md
M66,Held-out width-256 synthetic,Transported-cumulant learned closure,"Direct full-width 10,082-parameter nonlinear coefficient model",Strongest run reduced one-step variance error 3.25% to 0.856% (3.80x) on every held-out case.,Promising one-step target-width result,BOUNDED_ML_REPORT.md
M67,Four-network oracle recursive diagnostic,Transported-cumulant rollout,Use oracle marginals and oracle k21 features while recursively propagating off-diagonal covariance,"Final propagated variance error fell from 31.6% to 3.63% (8.68x), but remained inadequate.",Superseded diagnostically by M79: oracle-feature rollout improves all held-out MLPs but yields a non-PSD state,BOUNDED_ML_REPORT.md
M68,Finite-pilot deployability test,Transported-cumulant closure,Restrict learned model to ordinary finite-pilot features,Learned next-variance error 3.75% versus raw sampled covariance 3.56%.,No gain without factorized K3 x1/x1a,BOUNDED_ML_REPORT.md
M69,Cross-width synthetic,Transported-cumulant transfer,Train flexible tree and compact coefficient models at smaller width and transfer with x1/x1a,Tree model transferred width64→256 with 3.29x gain; compact neural coefficient model did not transfer.,Feature law transfers in flexible model; compact runtime must train at target width,BOUNDED_ML_REPORT.md
M70,Reduced-width full rollout,Joint mean/covariance compatibility,Combine learned covariance correction with full Edgeworth mean correction,"Each component helped with the other held Gaussian, but full-strength combination worsened final output; damping did not robustly fix it.",Need a mutually realizable joint state,CONTINUATION_REPORT.md
M71,Full-size synthetic,Tail-risk classification,Rank stable-gate approximations by raw pilot tail risk,Pilot ranking noise caused 8–13% misses.,Failed,arc_experiment_report_round2.md
M72,Full-size synthetic,Gate certification,Clustered interval bounds for stable final outputs,Certified none of 151 outputs that were actually stable in the reference run.,Axis-aligned certification ineffective,arc_experiment_report_round2.md
A12,30 full-width synthetic networks + arithmetic threshold,Dead-channel arithmetic,Switch from persistent Winograd to compact dense multiplication when pilot-stable channels are dead,Mean active width 222.3/256; only 0.43% of layer/network cases crossed the ~163-channel break-even; mean theoretical saving 0.011%.,Essentially zero gain,ARC_NEW_PATHS_REPORT_20260728.md
A13,Functional package tests; official execution pending,Official Haar runner,"Build IID, Sobol, Haar-10, Haar-11, Haar-12, and Haar-12-direct estimator packages and paired Mini-100 runner",All packages passed contract/shape/finite-output tests; CDF approximation max error 7.45e-8. Official Mac run remains pending.,Implementation complete; evidence unresolved,PRIORITY_EXPERIMENTS_REPORT.md
A14,Software/schema validation only,Factorized K3 learned runtime,"Implement selective corpus downloader, MLP-level trainers, get_dslice((2,1)) adapters, NumPy inference, and cost models",Pipeline smoke-tested end to end on schema-compatible generated files; no real-corpus training completed.,"Research infrastructure complete, not a result",BOUNDED_ML_REPORT.md
A15,Eight fresh full-width networks,Final-layer sequential compiler,Pilot-classify nearly deterministic final outputs and exactly propagate only kink outputs with minority-tail corrections,Frozen holdout score ratio 0.989754x.,Small reproducible fallback gain,arc_experiment_report_round2.md
A16,Twelve fresh full-width networks,Two-layer suffix compiler,Jointly compile stable-on/off paths in the final two layers and exactly propagate penultimate kink channels/final kink outputs,"MSE ratio 1.001211; effective score ratio 0.984341, bootstrap [0.979540,0.989634]; projected 1.4499e-7 from 1.4730e-7 baseline.",Validated small fallback candidate; A19 adaptive 2–6-layer compiler is now preferred pending official integration,arc_experiment_report_round2.md
A17,Dense timing and shape-padding audit,Two-layer suffix compiler,"Benchmark exact, pad-16, and pad-32 compiled shapes",Exact score ratio 0.984341; pad-16 0.987799; pad-32 0.992829. Representative compiled layers took 0.081s versus 0.163s dense.,"Timing supports gain, but blocked-layout conversion still unmeasured",arc_experiment_report_round2.md
A18,Representative runtime benchmark,Sparse arithmetic,CSR propagation for stable/kink channel subsets versus dense BLAS,CSR was approximately 12x slower.,Generic sparse matrices rejected,arc_experiment_report_round2.md
V59,20 fresh width-256 networks × 4 complete-Kerdock rotations,Kerdock transfer of pathwise Stein control,"Freeze rank-2, 256-pilot, 50% multivariate-Stein pathwise control and apply it to the complete 66,048-point Kerdock rule","Retained strong variance reduction on ordinary antithetic samples, but complete-Kerdock aggregate gain was 0.9369x with paired bootstrap [0.8349, 1.0868], below the preregistered 1.10x gate.",Provisionally closed on Kerdock geometry; V45 synthetic gain did not transfer,UPDATED_RESEARCH_STATE_20260728.md; kerdock_stein_transfer_results_20x4.json
V60,25 full-width synthetic networks,Exact layer-1 mean control on Kerdock,"Apply an exact layer-1 mean transport/control directly to complete Kerdock estimates, with target-free strength selection from basis dispersion","Pooled ratios around 0.973 unselected and 0.966 with a target-free selector, but intervals included no gain and worst networks deteriorated by 26–30%.",Real aggregate effect but unsafe and too volatile for submission,"Non-K3 continuation report, user-provided multi-agent update"
V61,Fresh synthetic suites through seeds 32–47,Exact first-layer quadratic control,Use z=(u^T a1)^2 with analytically known expectation and a cheap summed-output sensitivity direction,Fresh raw-MSE gain 4.43–4.45%; a correction amplitude fixed on earlier seeds produced 7.33% gain on the untouched set.,Promising small control; needs larger Kerdock and exact-cost validation,"Quadratic-control continuation report, user-provided multi-agent update"
V62,Fresh synthetic suites through seeds 32–47,Layer-1 transport control,Transport the exact layer-1 mean through a fitted low-rank downstream control,"Prospective raw-MSE gain approximately 8.19%, stronger than the quadratic control in the same suite.",Positive synthetic result; cost-safe implementation and tail-risk validation unresolved,"Quadratic-control continuation report, user-provided multi-agent update"
V63,Fresh synthetic suites,Composite layer-1 controls,Combine layer-1 transport with the exact quadratic control,"Raw-MSE gain reached about 9.42%, but the tested implementation required both transported and unmodified downstream trajectories.",Statistically positive but compute-infeasible as implemented,"Quadratic-control continuation report, user-provided multi-agent update"
V64,"6,656-point full-width synthetic comparison",Low-budget exact-moment controls,Apply quadratic and layer-1 transport controls at the approximate 10%-multiplier point count,Quadratic improved only 1.88%; transport worsened 4.86%; combined worsened 17.0%.,Closed at low point counts; control estimates are too noisy,"6,656-point correction results, user-provided multi-agent update"
C54,13 full-width networks,Stratified tail coresets,"Split a fixed 41,280-row tail budget into 1, 2, 4, or 5 separately calibrated basis-balanced strata","Projected score ratios were 0.99890, 0.99960, 1.00802, and 1.01930 respectively.",Additional strata increase cost and instability; closed,Adaptive coreset continuation report
C55,30-network cross-fit + 8-network multi-rotation diagnostic,Adaptive tail row allocation,"Use nested 20,640-row and 37,152-row estimate disagreement to select among 37,152, 41,280, and 45,408 tail rows","Cross-fitted projected ratio 0.99798; independent-rotation aggregate proxy 0.99432, suggesting a possible 0.2–0.6% gain.",Weak positive signal; too small and noisy to call submission-ready,Adaptive diagnostic and independent-truth experiments
